,Unnamed: 0,index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS,MileMarker,Bearing,DrivingDir,ValidPt
0,0,17709,1617833882.0,104.22938361327485,0.7403333734271079,37.0,,,-86.6850197,36.0648928,,,0.0,0.0,0.0,0.0,37376.06100223216,-37301.76100223216,356.9865627651322,West,False
1,1,17710,1617833882.1,104.44066777709122,0.7003188336795199,37.0,,,-86.68499849999998,36.0648735,,,0.0,0.0,0.0,0.0,37378.930969083885,-37304.63096908388,356.86517457850107,West,True
2,2,17711,1617833882.2,104.5989330488617,0.6565606982119064,36.817405444514364,,,-86.6849777,36.0648538,,,0.0,0.0,0.0,0.0,37381.81087597831,-37307.5108759783,357.02849703515574,West,True
3,3,17712,1617833882.3,104.67,0.6086273837175269,36.31663954478215,,,-86.6849562,36.0648345,,,0.0,0.0,0.0,0.0,37384.6988178598,-37310.39881785979,356.8949316734308,West,True
4,4,17713,1617833882.4,104.850393420847,0.5562390161944486,36.0,,,-86.68493520000001,36.0648148,,,0.0,0.0,0.0,0.0,37387.59042807188,-37313.29042807187,356.98371852650916,West,True
5,5,17714,1617833882.5,104.91410783286987,0.4993028750130216,36.0,,,-86.68491379999998,36.0647953,,,0.0,0.0,0.0,0.0,37390.48896203621,-37316.188962036205,356.95405299310937,West,True
6,6,17715,1617833882.6,105.03664378050743,0.4379315701569123,35.81708928211267,,,-86.6848925,36.06477570000001,,,0.0,0.0,0.0,0.0,37393.38988379395,-37319.089883793946,356.96694758145514,West,True
7,7,17716,1617833882.7,105.14488417414326,0.37245344266019503,35.316525383779066,,,-86.684871,36.064756,,,0.0,0.0,0.0,0.0,37396.31103065942,-37322.011030659414,356.9552577233792,West,True
8,8,17717,1617833882.8,105.18127940947515,0.3034105473386673,34.81647912885663,,,-86.68484980000002,36.0647365,,,0.0,0.0,0.0,0.0,37399.197667009714,-37324.8976670097,356.9229721020588,West,True
9,9,17718,1617833882.9,105.26144030248066,0.2315394636545519,34.31731992502455,,,-86.68482850000002,36.0647167,,,0.0,0.0,0.0,0.0,37402.11533445455,-37327.81533445455,356.96688920446036,West,True
