,Unnamed: 0,index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS,MileMarker,Bearing,DrivingDir,ValidPt
0,0,5687,1616796622.1,59.27009202958094,0.014123799562909534,16.12,-0.0420194582712242,-0.9606067578707272,-86.6850037,36.0649287,100.0,388.6767025987322,0.0,0.0,0.0,1.0,6289.568407703395,-6215.268407703395,356.85565926650213,West,False
1,1,5688,1616796622.2,59.34,-0.017439754260998617,16.12,-0.0012226466847745,-0.998853768733024,-86.6849917,36.0649173,100.0,385.1069815849178,0.0,0.0,0.0,1.0,6291.232821501626,-6216.932821501626,356.8015227335525,West,True
2,2,5689,1616796622.3,59.33377675321525,-0.05279304008203777,15.967222013608305,0.0305555972783393,-1.0095486241494809,-86.6849798,36.0649058,100.0,387.6736147618547,0.0,0.0,0.0,1.0,6292.899938344528,-6218.599938344528,356.83044345703627,West,True
3,3,5690,1616796622.4,59.385342773221005,-0.09138600778997256,15.809723553179026,0.0620552893641948,-1.019392277926311,-86.68496800000001,36.0648945,100.0,390.42983781936704,0.0,0.0,0.0,1.0,6294.544246672113,-6220.244246672113,356.8304322168889,West,True
4,4,5691,1616796622.5,59.37868093802408,-0.13251597666890902,15.637538536848032,0.0564395819565802,-1.0618131531928434,-86.6849562,36.0648832,100.0,389.93846342120077,0.0,0.0,0.0,1.0,6296.188555100216,-6221.888555100216,356.82808809952775,West,True
5,5,5692,1616796622.6,59.381634123641994,-0.17534751190215106,15.445910174511097,0.0016886212888856,-1.1473615292361163,-86.6849442,36.0648717,100.0,385.1477543627775,0.0,0.0,0.0924263435835227,1.0,6297.86145345668,-6223.5614534566785,356.8014770462538,West,True
6,6,5693,1616796622.7,59.36195433411592,-0.2189497248646185,15.333160879241776,-0.0457881946106688,-1.159539207210556,-86.6849323,36.0648602,100.0,387.6709780189557,0.0,0.0,0.2239326250996649,1.0,6299.528570697354,-6225.2285706973535,356.7744164752138,West,True
7,7,5694,1616796622.8,59.17181547178195,-0.26234016865233856,15.222922051163636,-0.0930334066441571,-1.1693819597175328,-86.68492049999998,36.0648487,100.0,390.4269487209092,0.0,0.0,0.3554385930808478,1.0,6301.189935332398,-6226.889935332398,356.77440502764296,West,True
8,8,5695,1616796622.9,59.071794956930894,-0.3045357979648164,15.125650531377001,-0.0770631642212512,-1.148164477638282,-86.68490870000002,36.06483720000001,100.0,392.0,0.0,0.0,0.48694487459699,1.0,6302.851300064179,-6228.551300064179,356.8555694368578,West,True
9,9,5696,1616796623.0,58.98082217136396,-0.3446057520607494,15.045623437827935,0.0229707027150788,-1.0856433108030756,-86.68489670000002,36.0648258,100.0,392.0,0.0,0.0,0.618450842578173,1.0,6304.515714675363,-6230.2157146753625,356.82803135025495,West,True
