,Unnamed: 0,index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS,MileMarker,Bearing,DrivingDir,ValidPt
0,0,18691,1617229771.8,63.07243664496651,0.9970292132871412,29.0,,,-86.6850048,36.06493320000001,,,0.0,0.0,0.0,0.0,41496.64149309697,-41422.34149309697,356.84905349765387,West,False
1,1,18692,1617229771.9,63.40545202100936,1.035557373648805,29.0,,,-86.68499229999998,36.0649213,,,0.0,0.0,0.0,0.0,41498.377375525364,-41424.07737552536,356.82261703744416,West,True
2,2,18693,1617229772.0,63.60552434316555,1.0714442348567097,29.0,,,-86.6849798,36.0649093,,,0.0,0.0,0.0,0.0,41500.12174902068,-41425.82174902068,356.7710487800022,West,True
3,3,18694,1617229772.1,63.840273792584675,1.1037395423237188,29.0,,,-86.6849675,36.0648973,,,0.0,0.0,0.0,0.0,41501.854598216116,-41427.55459821612,356.8754443039143,West,True
4,4,18695,1617229772.2,64.14544148071522,1.1315731112103404,29.0,,,-86.684955,36.0648855,,,0.0,0.0,0.0,0.0,41503.58201985882,-41429.282019858816,356.8225813991886,West,True
5,5,18696,1617229772.3,64.41082356488292,1.1541786807722016,29.0,,,-86.6849425,36.0648735,,,0.0,0.0,0.0,0.0,41505.326393683456,-41431.02639368345,356.82256945765437,West,True
6,6,18697,1617229772.4,64.66711883316553,1.1709123498084706,29.0,,,-86.68493000000002,36.0648615,,,0.0,0.0,0.0,0.0,41507.070767617864,-41432.77076761786,356.8724956639773,West,True
7,7,18698,1617229772.5,64.90156589926805,1.1812558066645438,29.0,,,-86.6849173,36.0648495,,,0.0,0.0,0.0,0.0,41508.82677449095,-41434.52677449095,356.8477121180817,West,True
8,8,18699,1617229772.6,65.119909403197,1.184820010064,29.0,,,-86.6849047,36.0648375,,,0.0,0.0,0.0,0.0,41510.576951644645,-41436.276951644635,356.76968679869316,West,True
9,9,18700,1617229772.7,65.39065585439474,1.1813353772938542,29.0,,,-86.68489220000002,36.0648253,,,0.0,0.0,0.0,0.0,41512.338395612234,-41438.03839561223,356.9208548810989,West,True
10,10,18701,1617229772.8,65.63911532298171,1.170649379988832,29.0,,,-86.68487929999998,36.0648133,,,0.0,0.0,0.0,0.0,41514.106141929886,-41439.806141929876,356.8214603709614,West,True
11,11,18702,1617229772.9,65.87170821413977,1.1527170132169615,29.0,,,-86.6848667,36.06480120000001,,,0.0,0.0,0.0,0.0,41515.864811666004,-41441.564811666,356.86961301921565,West,True
12,12,18703,1617229773.0,66.14292568090518,1.1276027204094043,29.0,,,-86.6848538,36.06478900000001,,,0.0,0.0,0.0,0.0,41517.64940437443,-41443.349404374436,356.845193931719,West,True
13,13,18704,1617229773.1,66.38363340474997,1.095480670767773,29.0,,,-86.684841,36.0647768,,,0.0,0.0,0.0,0.0,41519.428170207546,-41445.12817020755,356.8682098425554,West,True
14,14,18705,1617229773.2,66.63604346697326,1.056644172362525,29.0,,,-86.684828,36.0647645,,,0.0,0.0,0.0,0.0,41521.22705591515,-41446.92705591515,356.81936307155337,West,True
15,15,18706,1617229773.3,66.8653320265299,1.0115139683888024,29.0,,,-86.6848152,36.06475220000001,,,0.0,0.0,0.0,0.0,41523.01431674529,-41448.71431674529,356.8173655786359,West,True
16,16,18707,1617229773.4,67.13270526078122,0.9606472456301888,29.0,,,-86.6848022,36.0647397,,,0.0,0.0,0.0,0.0,41524.83016851169,-41450.53016851169,356.81735313665183,West,True
17,17,18708,1617229773.5,67.38153047437487,0.9047413936542856,29.0,,,-86.6847892,36.06472720000001,,,0.0,0.0,0.0,0.0,41526.64602039492,-41452.346020394914,356.8654657197555,West,True
18,18,18709,1617229773.6,67.56233360826742,0.8446286057152714,29.0,,,-86.684776,36.0647147,,,0.0,0.0,0.0,0.0,41528.47349236966,-41454.173492369664,356.766512519618,West,True
19,19,18710,1617229773.7,67.67545140693443,0.7812605942141945,29.0,,,-86.684763,36.064702,,,0.0,0.0,0.0,0.0,41530.306423101916,-41456.00642310191,356.81539050087997,West,True
20,20,18711,1617229773.8,67.8063960689783,0.7156791777324047,29.0,,,-86.6847498,36.0646893,,,0.0,0.0,0.0,0.0,41532.15086633861,-41457.85086633862,356.79189439460504,West,True
21,21,18712,1617229773.9,67.93064153837726,0.6489764703261902,29.0,,,-86.6847368,36.06467670000001,,,0.0,0.0,0.0,0.0,41533.97524410615,-41459.67524410616,356.83926120457573,West,True
22,22,18713,1617229774.0,68.02704105571847,0.5822447440394515,29.0,,,-86.6847235,36.064664,,,0.0,0.0,0.0,0.0,41535.82548242162,-41461.52548242162,356.81441181936094,West,True
23,23,18714,1617229774.1,68.12931461377303,0.5165209963505943,29.0,,,-86.68471020000001,36.06465120000001,,,0.0,0.0,0.0,0.0,41537.684221585136,-41463.38422158514,356.8370279669809,West,True
24,24,18715,1617229774.2,68.15307423363254,0.4527326212815054,29.0,,,-86.6846967,36.0646383,,,0.0,0.0,0.0,0.0,41539.563049131066,-41465.26304913106,356.83811087391365,West,True
25,25,18716,1617229774.3,68.20252698017272,0.3916457814633925,29.0,,,-86.6846833,36.0646255,,,0.0,0.0,0.0,0.0,41541.42758228617,-41467.127582286164,356.7647028268041,West,True
26,26,18717,1617229774.4,68.24549543712862,0.33382861319574497,29.0,,,-86.68467,36.0646125,,,0.0,0.0,0.0,0.0,41543.30340544749,-41469.00340544748,356.81252064247633,West,True
27,27,18718,1617229774.5,68.25955733371822,0.2796230584691161,29.0,,,-86.68465649999996,36.0645995,,,0.0,0.0,0.0,0.0,41545.19073635733,-41470.89073635733,356.81250769680724,West,True
28,28,18719,1617229774.6,68.29782255239921,0.22914134829428706,29.0,,,-86.68464300000002,36.0645865,,,0.0,0.0,0.0,0.0,41547.07806739445,-41472.778067394436,356.81070854124016,West,True
29,29,18720,1617229774.7,68.38068793398782,0.1822709798217876,29.0,,,-86.6846293,36.06457329999999,,,0.0,0.0,0.0,0.0,41548.99398995609,-41474.69398995608,356.8124816410041,West,True
30,30,18721,1617229774.8,68.36470480753992,0.13870651484578275,28.674160347988845,,,-86.68461579999996,36.0645603,,,0.0,0.0,0.0,0.0,41550.88132125405,-41476.581321254045,356.8115690078598,West,True
31,31,18722,1617229774.9,68.39780684836796,0.09798286196629401,28.17348351732305,,,-86.6846022,36.0645472,,,0.0,0.0,0.0,0.0,41552.7829483604,-41478.4829483604,356.7635199837761,West,True
32,32,18723,1617229775.0,68.37913319857942,0.059530184870388775,28.0,,,-86.68458869999998,36.064534,,,0.0,0.0,0.0,0.0,41554.68736675011,-41480.38736675011,356.856453407388,West,True
