,Unnamed: 0,index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS,MileMarker,Bearing,DrivingDir,ValidPt
0,0,4941,1618265090.0,72.53,-0.2361638458300611,35.0,,,-86.6850132,36.06494050000001,,,0.0,0.0,0.0,0.0,6279.675664964078,-6205.375664964078,356.8028623761026,West,False
1,1,4942,1618265090.1,72.4695451375954,-0.2595384925285951,35.0,,,-86.68499849999998,36.0649263,,,0.0,0.0,0.0,0.0,6281.734542691205,-6207.434542691205,356.8467242085849,West,True
2,2,4943,1618265090.2,72.39,-0.28176694948597136,35.0,,,-86.6849837,36.0649122,,,0.0,0.0,0.0,0.0,6283.790709223912,-6209.490709223914,356.802834020127,West,True
3,3,4944,1618265090.3,72.27098025669926,-0.30296445352761003,35.0,,,-86.684969,36.064898,,,0.0,0.0,0.0,0.0,6285.849587256063,-6211.549587256062,356.869015439988,West,True
4,4,4945,1618265090.4,72.21137478196546,-0.3232136855246183,35.0,,,-86.6849542,36.064884,,,0.0,0.0,0.0,0.0,6287.89728800686,-6213.597288006859,356.7588000027594,West,True
5,5,4946,1618265090.5,72.13918659688856,-0.34257176395669164,35.0,,,-86.6849397,36.0648698,,,0.0,0.0,0.0,0.0,6289.944675931983,-6215.644675931982,356.8477313559262,West,True
6,6,4947,1618265090.6,72.05106557601293,-0.36105472274726025,35.0,,,-86.684925,36.0648558,,,0.0,0.0,0.0,0.0,6291.986549068682,-6217.686549068683,356.9106394333844,West,True
7,7,4948,1618265090.7,71.99490844428233,-0.3786484377000049,35.0,,,-86.68491,36.0648418,,,0.0,0.0,0.0,0.0,6294.045974350844,-6219.7459743508425,356.69043080561295,West,True
8,8,4949,1618265090.8,71.88627026828506,-0.3953035179391264,35.0,,,-86.6848957,36.0648275,,,0.0,0.0,0.0,0.0,6296.090601708209,-6221.7906017082105,356.80274941661787,West,True
9,9,4950,1618265090.9,71.75506526882221,-0.4109493698961312,35.0,,,-86.684881,36.0648133,,,0.0,0.0,0.0,0.0,6298.149480652452,-6223.849480652452,356.80428508172224,West,True
10,10,4951,1618265091.0,71.64894676463358,-0.4254974925568369,35.0,,,-86.6848665,36.0647993,,,0.0,0.0,0.0,0.0,6300.179767737017,-6225.879767737017,356.8251911713892,West,True
11,11,4952,1618265091.1,71.57588751967661,-0.4388560078734763,35.0,,,-86.68485179999998,36.0647852,,,0.0,0.0,0.0,0.0,6302.230131791213,-6227.930131791213,356.7808539410347,West,True
12,12,4953,1618265091.2,71.47297784203064,-0.4509367490595815,35.0,,,-86.6848372,36.064771,,,0.0,0.0,0.0,0.0,6304.2832543368895,-6229.983254336891,356.89257910188326,West,True
13,13,4954,1618265091.3,71.38883323576759,-0.4616655271165918,35.0,,,-86.6848225,36.0647572,,,0.0,0.0,0.0,0.0,6306.308224637004,-6232.008224637005,356.75962755420625,West,True
14,14,4955,1618265091.4,71.22602460156959,-0.470986976737484,35.0,,,-86.6848082,36.0647432,,,0.0,0.0,0.0,0.0,6308.327019219521,-6234.027019219519,356.80266529255823,West,True
15,15,4956,1618265091.5,71.13956358157162,-0.4788657058624913,35.0,,,-86.68479350000001,36.064729,,,0.0,0.0,0.0,0.0,6310.385899072363,-6236.085899072365,356.7595993006733,West,True
16,16,4957,1618265091.6,71.01738962618789,-0.4852845879171633,35.0,,,-86.68477920000002,36.064715,,,0.0,0.0,0.0,0.0,6312.404693949031,-6238.104693949031,356.93415568372666,West,True
17,17,4958,1618265091.7,70.91,-0.4902350966501861,35.0,,,-86.6847643,36.0647012,,,0.0,0.0,0.0,0.0,6314.441440480157,-6240.141440480157,356.872517519545,West,True
18,18,4959,1618265091.8,70.78716945828761,-0.4937096131511729,35.0,,,-86.6847498,36.0646875,,,0.0,0.0,0.0,0.0,6316.446265422039,-6242.146265422039,356.713693227659,West,True
19,19,4960,1618265091.9,70.69,-0.4956845223158289,35.0,,,-86.6847357,36.0646735,,,0.0,0.0,0.0,0.0,6318.4536628060605,-6244.153662806061,356.918059030651,West,True
20,20,4961,1618265092.0,70.52078049540427,-0.4961125665033343,35.0,,,-86.68472120000001,36.06466,,,0.0,0.0,0.0,0.0,6320.441642277923,-6246.141642277924,356.82786166630774,West,True
21,21,4962,1618265092.1,70.46197235527579,-0.4949065247281293,35.0,,,-86.6847068,36.06464620000001,,,0.0,0.0,0.0,0.0,6322.4491226861865,-6248.149122686186,356.82689860788764,West,True
22,22,4963,1618265092.2,70.35272367014414,-0.4919402080458993,35.0,,,-86.6846923,36.0646323,,,0.0,0.0,0.0,0.0,6324.470898250323,-6250.170898250323,356.8496667957597,West,True
23,23,4964,1618265092.3,70.25980883359428,-0.4870408601793869,35.3808186760626,,,-86.68467779999996,36.0646185,,,0.0,0.0,0.0,0.0,6326.484186079607,-6252.184186079607,356.8287828767235,West,True
24,24,4965,1618265092.4,70.10936879190608,-0.4800050891381765,35.881107328675135,,,-86.6846635,36.0646048,,,0.0,0.0,0.0,0.0,6328.477371960627,-6254.177371960627,356.69018583753996,West,True
25,25,4966,1618265092.5,70.0490610111476,-0.4706038613998997,36.0,,,-86.6846495,36.0645908,,,0.0,0.0,0.0,0.0,6330.479107418455,-6256.179107418455,356.84962625295805,West,True
26,26,4967,1618265092.6,69.91,-0.4586133113116821,36.0,,,-86.684635,36.064577,,,0.0,0.0,0.0,0.0,6332.492395692797,-6258.192395692797,356.7831936555353,West,True
27,27,4968,1618265092.7,69.75513840098583,-0.4438292957378484,36.0,,,-86.6846208,36.0645632,,,0.0,0.0,0.0,0.0,6334.488333462642,-6260.188333462642,356.7838399199317,West,True
28,28,4969,1618265092.8,69.61888189285364,-0.4261056936521832,36.0,,,-86.6846067,36.0645495,,,0.0,0.0,0.0,0.0,6336.469974675793,-6262.169974675793,356.6901293230305,West,True
29,29,4970,1618265092.9,69.5411544596205,-0.4053694121208713,36.0,,,-86.6845927,36.0645355,,,0.0,0.0,0.0,0.0,6338.471710690474,-6264.1717106904725,356.78315274956077,West,True
30,30,4971,1618265093.0,69.47285491359547,-0.38165428295570814,36.0,,,-86.6845785,36.0645217,,,0.0,0.0,0.0,0.0,6340.467648890864,-6266.167648890864,356.85292865458223,West,True
31,31,4972,1618265093.1,69.3709366992141,-0.35510551527593925,36.0,,,-86.68456429999998,36.06450820000001,,,0.0,0.0,0.0,0.0,6342.438056502062,-6268.138056502062,356.7608611624885,West,True
32,32,4973,1618265093.2,69.29169736937722,-0.3259983673857664,36.0,,,-86.6845503,36.0644945,,,0.0,0.0,0.0,0.0,6344.41396168619,-6270.11396168619,356.76034545083724,West,True
33,33,4974,1618265093.3,69.1446849512013,-0.2947248882079568,36.0,,,-86.68453620000004,36.0644807,,,0.0,0.0,0.0,0.0,6346.404164328961,-6272.104164328961,356.7598367111045,West,True
34,34,4975,1618265093.4,69.09323039995428,-0.2617932997383769,36.0,,,-86.684522,36.0644668,,,0.0,0.0,0.0,0.0,6348.408664445806,-6274.1086644458055,356.8296105374887,West,True
35,35,4976,1618265093.5,69.0553233667018,-0.2277979525742748,36.380633373934224,,,-86.68450779999998,36.0644532,,,0.0,0.0,0.0,0.0,6350.387556993439,-6276.087556993439,356.76183214099296,West,True
36,36,4977,1618265093.6,68.97371366666054,-0.19340453913170447,36.87856415297277,,,-86.684494,36.06443970000001,,,0.0,0.0,0.0,0.0,6352.334868127547,-6278.034868127547,356.80798189499967,West,True
37,37,4978,1618265093.7,68.96126163739325,-0.15931204290164228,37.0,,,-86.68448000000002,36.06442620000001,,,0.0,0.0,0.0,0.0,6354.293679551252,-6279.993679551252,356.8315647862845,West,True
38,38,4979,1618265093.8,69.02713733803543,-0.12623515390684295,37.0,,,-86.684466,36.0644128,,,0.0,0.0,0.0,0.0,6356.24398279479,-6281.94398279479,356.8079550237677,West,True
39,39,4980,1618265093.9,68.94766592303402,-0.09486955349439452,37.0,,,-86.68445200000002,36.0643993,,,0.0,0.0,0.0,0.0,6358.202794494906,-6283.902794494906,356.7378426059008,West,True
40,40,4981,1618265094.0,68.97425405125742,-0.0658821047618178,37.0,,,-86.6844382,36.0643857,,,0.0,0.0,0.0,0.0,6360.1586907220835,-6285.858690722082,356.8315249637384,West,True
41,41,4982,1618265094.1,68.9927307725791,-0.039886080350459686,37.0,,,-86.68442420000002,36.0643723,,,0.0,0.0,0.0,0.0,6362.108994382165,-6287.808994382165,356.7843192791851,West,True
42,42,4983,1618265094.2,69.0097468211995,-0.0174423174713153,37.0,,,-86.6844102,36.06435870000001,,,0.0,0.0,0.0,0.0,6364.076340867876,-6289.776340867876,356.9225719021573,West,True
43,43,4984,1618265094.3,69.04598030719305,0.0009578654064336225,37.38011714780945,,,-86.68439599999998,36.0643455,,,0.0,0.0,0.0,0.0,6366.021456485327,-6291.721456485328,356.80959792463585,West,True
44,44,4985,1618265094.4,69.08231294876362,0.014885952749550832,37.8814990138067,,,-86.6843822,36.0643322,,,0.0,0.0,0.0,0.0,6367.951677237592,-6293.651677237592,356.78495777244837,West,True
45,45,4986,1618265094.5,69.06215265874422,0.02399427773615505,38.0,,,-86.6843683,36.0643187,,,0.0,0.0,0.0,0.0,6369.904727457842,-6295.6047274578395,356.83145837987337,West,True
