,Unnamed: 0,index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS,MileMarker,Bearing,DrivingDir,ValidPt
0,0,32287,1615592709.0,56.347831868803155,0.3986274772269212,35.99505822640025,0.0925097044000428,1.435135021624906,-86.6850003,36.0648715,100.0,387.0,0.0,0.0,0.0,0.0,48281.66980328178,-48207.36980328178,356.8690483980181,West,False
1,1,32288,1615592709.1,56.37000000000001,0.3986666536022408,36.11499388783643,0.1124989813060728,1.3914084783929657,-86.6849892,36.064861,100.0,387.0,0.0,0.0,0.0,0.0,48283.20557904914,-48208.90557904914,356.9559317048498,West,True
2,2,32289,1615592709.2,56.49495951456886,0.3989197359425608,36.25375607132273,0.1387512142645448,1.3359349702821983,-86.684978,36.0648507,100.0,387.0,0.0,0.0,0.0,0.0,48284.73043596737,-48210.43043596737,356.8969275455326,West,True
3,3,32290,1615592709.3,56.577997840172785,0.39919200517542697,36.40382575177063,0.1687651503541269,1.2734059367622357,-86.6849668,36.0648402,100.0,387.0,0.0,0.0,0.0,0.0,48286.272066411526,-48211.97206641152,356.8987772617797,West,True
4,4,32291,1615592709.4,56.684300348032,0.3992077473612826,36.55389579001289,0.1987791580025773,1.2108767541612973,-86.6849557,36.0648298,100.0,387.0,0.0,0.0,0.0,0.0,48287.79940612051,-48213.49940612051,356.8969067391778,West,True
5,5,32292,1615592709.5,56.73245414463764,0.3985759120066336,36.703965470460794,0.2287930940921594,1.1483477206413344,-86.6849445,36.0648193,100.0,387.0,0.0,0.0,0.0,0.0,48289.341036738704,-48215.0410367387,356.8105618953563,West,True
6,6,32293,1615592709.6,56.82814108025217,0.3968067485647799,36.83516926520061,0.1648307347993807,1.0897644069372097,-86.6849335,36.06480870000001,100.0,387.0,0.0,0.0,0.0,0.0,48290.879491192565,-48216.579491192555,356.89688602039,West,True
7,7,32294,1615592709.7,56.97175109663329,0.3932959140428168,36.95513136867244,0.0448686313275582,1.0335321709347929,-86.6849223,36.0647982,100.0,387.0,0.0,0.0,0.0,0.0,48292.42112198826,-48218.12112198826,356.7805143640118,West,True
8,8,32295,1615592709.8,56.9811138231911,0.3873711156905057,37.075093186132726,-0.0750931861327308,0.9773000690002824,-86.6849113,36.0647875,100.0,387.0,0.0,0.0,0.0,0.0,48293.968112168084,-48219.66811216809,356.80944789793244,West,True
9,9,32296,1615592709.9,57.11,0.37830476833638416,37.19505528960456,-0.1950552896045533,0.9210678329978657,-86.6849002,36.0647768,100.0,387.0,0.0,0.0,0.0,0.0,48295.5208626368,-48221.220862636794,356.8673597687829,West,True
10,10,32297,1615592710.0,57.21801708927994,0.365392031229896,37.2900692829625,-0.1899307170375001,0.8687066981484376,-86.684889,36.0647662,100.0,387.0,0.0,0.0,0.0,0.0,48297.07093199904,-48222.770931999024,356.8657830455815,West,True
11,11,32298,1615592710.1,57.34329831213873,0.3479860601602813,37.370136382563174,-0.1098636174368286,0.8186647608980179,-86.6848777,36.0647555,100.0,387.0,0.0,0.0,0.0,0.0,48298.63529436171,-48224.33529436171,356.89321143341937,West,True
12,12,32299,1615592710.2,57.47875250505545,0.32559051693262664,37.43016124777797,0.0104837433339067,0.7371640671292314,-86.6848663,36.0647448,100.0,387.0,0.0,0.0,0.0,0.0,48300.205507655075,-48225.905507655065,356.83916262577856,West,True
13,13,32300,1615592710.3,57.60919331009925,0.2978951535186864,37.47826377659271,0.1547913297780836,0.6369504654318864,-86.6848552,36.0647342,100.0,387.0,0.0,0.0,0.0,0.0,48301.74975475743,-48227.44975475743,356.83782346570564,West,True
14,14,32301,1615592710.4,57.789596492855814,0.264853470754346,37.54910484415831,0.2905835796939289,0.5466926313456473,-86.684844,36.0647235,100.0,387.0,0.0,0.0,0.0,0.0,48303.30829641898,-48229.008296418986,356.86574063529486,West,True
15,15,32302,1615592710.5,57.88816237073054,0.2266909688038194,37.76901125692164,0.370549547971502,0.5217032662589056,-86.6848327,36.0647128,100.0,387.0,0.0,0.0,0.0,0.0,48304.872659138986,-48230.57265913898,356.80830963428184,West,True
16,16,32303,1615592710.6,57.89109467163443,0.18394115029726346,37.94952262452035,0.4434924584932183,0.4847204940921698,-86.6848215,36.064702,100.0,387.0,0.0,0.0,0.0,0.0,48306.43970602271,-48232.13970602272,356.8082988856653,West,True
17,17,32304,1615592710.7,57.95007986688852,0.13740915006560114,37.86984651039094,0.4700511632030191,0.3685261609867912,-86.6848103,36.0646912,100.0,387.0,0.0,0.0,0.0,0.0,48308.00675299461,-48233.70675299461,356.8072440869518,West,True
18,18,32305,1615592710.8,57.958168772464866,0.08815646431434297,37.76977176197461,0.4699673945678011,0.2999184864195028,-86.684799,36.0646803,100.0,387.0,0.0,0.0,0.0,0.0,48309.58809590387,-48235.28809590387,356.83646490475417,West,True
19,19,32306,1615592710.9,57.962365447322064,0.03742339032098484,37.65747838575382,0.4539254836791166,0.2598137091977916,-86.6847877,36.0646695,100.0,387.0,0.0,0.0,0.0,0.0,48311.160932552884,-48236.86093255288,356.89136329850237,West,True
20,20,32307,1615592711.0,57.9414381884945,-0.013425050048548628,37.58798663509836,0.4434983293872945,0.2140677206647047,-86.6847762,36.0646587,100.0,387.0,0.0,0.0,0.0,0.0,48312.74543780155,-48238.44543780155,356.77876417247114,West,True
21,21,32308,1615592711.1,57.91608271879655,-0.06299547828302479,37.80012062550775,0.4700150781884679,0.1312028806610379,-86.684765,36.0646478,100.0,387.0,0.0,0.0,0.0,0.0,48314.32102273602,-48240.021022736015,356.89134207657213,West,True
22,22,32309,1615592711.2,57.75923569844183,-0.10993205271900956,37.855109913905935,0.48,0.0533310885736178,-86.6847535,36.064637,100.0,387.0,0.0,0.0,0.0,0.0,48315.905528171286,-48241.605528171276,356.7779591549272,West,True
23,23,32310,1615592711.3,57.70202713754647,-0.15300238823954232,37.81518682270524,0.48,-0.0215247074276957,-86.6847422,36.064626,100.0,387.0,0.0,0.0,0.0,0.0,48317.4954101362,-48243.1954101362,356.86410593622645,West,True
24,24,32311,1615592711.4,57.57185398292695,-0.1911481137702862,37.8,0.48,-0.0811219215668992,-86.6847308,36.0646152,100.0,387.0,0.0,0.0,0.0,0.0,48319.074066690075,-48244.77406669007,356.7779371641408,West,True
25,25,32312,1615592711.5,57.489880622448595,-0.22353831061077808,37.8,0.48,-0.1313509418525111,-86.6847195,36.06460420000001,100.0,387.0,0.0,0.0,0.0,0.0,48320.66394883418,-48246.36394883418,356.777926215496,West,True
26,26,32313,1615592711.6,57.4,-0.2495893564860293,37.79214036576731,0.4852397561551279,-0.1848245427908651,-86.6847082,36.0645932,100.0,387.0,0.0,0.0,0.0,0.0,48322.25383107024,-48247.95383107024,356.88785128012125,West,True
27,27,32314,1615592711.7,57.29555667327988,-0.2689789202208141,37.73214265449509,0.5252382303366099,-0.2598216818811435,-86.6846965,36.0645822,100.0,387.0,0.0,0.0,0.0,0.0,48323.866919799286,-48249.566919799276,356.7779039344111,West,True
28,28,32315,1615592711.8,57.192986534056,-0.2816349874633194,37.69311433126153,0.5626228662523062,-0.329917874223074,-86.6846852,36.0645712,100.0,387.0,0.0,0.0,0.0,0.0,48325.456802215565,-48251.15680221557,356.83381442748754,West,True
