,Unnamed: 0,index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS,MileMarker,Bearing,DrivingDir,ValidPt
0,0,3806,1617228283.3,88.11540603660075,0.28932034718896205,31.0,,,-86.68500829999998,36.0649202,,,0.0,0.0,1.0,0.0,6279.232204582787,-6204.932204582787,356.80311019462664,West,False
1,1,3807,1617228283.4,88.22475299935894,0.31369545620262085,31.0,,,-86.6849907,36.0649032,,,0.0,0.0,0.915223701174366,0.0,6281.697139725617,-6207.397139725616,356.78486355069754,West,True
2,2,3808,1617228283.5,88.37870905073898,0.33652885835289603,31.078751435939235,,,-86.6849732,36.0648862,,,0.0,0.0,0.7837820644199714,0.0,6284.15631606542,-6209.856316065418,356.7848466348616,West,True
3,3,3809,1617228283.6,88.43663361894934,0.35737051163279704,31.57856553841168,,,-86.6849557,36.0648692,,,0.0,0.0,0.6523404276655766,0.0,6286.615492622025,-6212.315492622025,356.87498522644364,West,True
4,4,3810,1617228283.7,88.52,0.3758461515639117,32.0,,,-86.6849378,36.0648523,,,0.0,0.0,0.5208984775296004,0.0,6289.089363534124,-6214.7893635341225,356.8405770419316,West,True
5,5,3811,1617228283.8,88.60326329447126,0.3916548898870812,32.0,,,-86.68492020000002,36.0648355,,,0.0,0.0,0.3894568407752057,0.0,6291.537286495262,-6217.237286495264,356.85837431298813,West,True
6,6,3812,1617228283.9,88.71077125906395,0.4045994210739576,32.0,,,-86.6849025,36.0648187,,,0.0,0.0,0.2580148906392294,0.0,6293.9910280475915,-6219.691028047593,356.82103334474874,West,True
7,7,3813,1617228284.0,88.82148759042441,0.4145756779602493,32.0,,,-86.6848848,36.0648017,,,0.0,0.0,0.1265732538848347,0.0,6296.461742810218,-6222.161742810218,356.80299147842277,West,True
8,8,3814,1617228284.1,88.95707822197883,0.4215930282716035,32.0,,,-86.6848672,36.0647847,,,0.0,0.0,0.0,0.0,6298.926679483123,-6224.626679483123,356.74699838641874,West,True
9,9,3815,1617228284.2,89.07094441825426,0.42575302336029697,32.0,,,-86.6848497,36.0647675,,,0.0,0.0,0.0,0.0,6301.402992794728,-6227.1029927947275,356.85643078809784,West,True
10,10,3816,1617228284.3,89.23819104592467,0.4272573488464743,32.0,,,-86.6848318,36.0647505,,,0.0,0.0,0.0,0.0,6303.885322144927,-6229.585322144927,356.84047633747116,West,True
11,11,3817,1617228284.4,89.28870963380716,0.4263748301885597,32.0,,,-86.6848142,36.06473370000001,,,0.0,0.0,0.0,0.0,6306.333246428938,-6232.033246428938,356.7469465473661,West,True
