363.4,329.15,25.903,24.975,-0.17123
365.99,331.65,25.891,24.958,-0.17123
368.58,334.14,25.878,24.941,-0.17123
371.17,336.64,25.865,24.924,-0.17689
373.75,339.13,25.852,24.906,-0.17689
376.34,341.62,25.839,24.888,-0.17689
378.92,344.11,25.826,24.871,-0.17689
381.5,346.59,25.813,24.853,-0.17689
384.08,349.08,25.8,24.835,-0.17689
386.66,351.56,25.786,24.818,-0.17689
389.24,354.04,25.773,24.8,-0.17689
391.82,356.52,25.759,24.782,-0.17689
394.39,359,25.745,24.764,-0.17689
396.97,361.47,25.731,24.747,-0.18255
399.54,363.95,25.717,24.729,-0.18255
402.11,366.42,25.704,24.71,-0.18255
404.68,368.89,25.689,24.692,-0.18255
407.25,371.36,25.675,24.674,-0.18255
409.81,373.82,25.661,24.656,-0.18255
412.38,376.29,25.647,24.637,-0.18255
414.94,378.75,25.632,24.619,-0.18255
417.51,381.21,25.617,24.601,-0.18255
420.07,383.67,25.603,24.583,-0.18255
422.63,386.13,25.588,24.564,-0.18821
425.18,388.58,25.573,24.545,-0.18821
427.74,391.04,25.558,24.527,-0.18821
430.3,393.49,25.543,24.508,-0.18821
432.85,395.94,25.528,24.489,-0.18821
435.4,398.39,25.513,24.47,-0.18821
437.95,400.83,25.498,24.451,-0.18821
440.5,403.28,25.483,24.433,-0.18821
443.05,405.72,25.468,24.414,-0.18821
445.59,408.16,25.453,24.395,-0.18821
448.14,410.6,25.437,24.376,-0.19387
450.68,413.03,25.422,24.357,-0.19387
453.22,415.47,25.406,24.337,-0.19387
455.76,417.9,25.391,24.318,-0.19387
458.3,420.33,25.375,24.298,-0.19387
460.84,422.76,25.359,24.279,-0.19387
463.37,425.19,25.343,24.26,-0.19387
465.91,427.61,25.328,24.24,-0.19387
468.44,430.04,25.312,24.221,-0.19387
470.97,432.46,25.296,24.202,-0.19387
473.5,434.88,25.28,24.182,-0.19954
476.03,437.29,25.264,24.162,-0.19954
478.55,439.71,25.248,24.142,-0.19954
481.07,442.12,25.232,24.122,-0.19954
483.6,444.53,25.215,24.102,-0.19954
486.12,446.94,25.199,24.082,-0.19954
488.64,449.35,25.182,24.062,-0.19954
491.15,451.76,25.166,24.042,-0.19954
493.67,454.16,25.149,24.023,-0.19954
496.18,456.56,25.132,24.003,-0.19954
498.7,458.96,25.115,23.983,-0.2052
501.21,461.36,25.097,23.962,-0.2052
503.72,463.75,25.08,23.942,-0.2052
506.22,466.14,25.062,23.921,-0.2052
508.73,468.54,25.044,23.901,-0.2052
511.23,470.92,25.027,23.88,-0.2052
513.73,473.31,25.009,23.86,-0.2052
516.23,475.7,24.991,23.839,-0.2052
518.73,478.08,24.973,23.818,-0.2052
521.23,480.46,24.954,23.798,-0.2052
523.72,482.84,24.936,23.777,-0.21086
526.22,485.22,24.917,23.756,-0.21086
528.71,487.59,24.898,23.735,-0.21086
531.19,489.96,24.88,23.714,-0.21086
533.68,492.33,24.861,23.693,-0.21086
536.17,494.7,24.841,23.672,-0.21086
538.65,497.07,24.822,23.651,-0.21086
541.13,499.43,24.802,23.63,-0.21086
543.61,501.79,24.781,23.609,-0.21086
546.09,504.15,24.76,23.588,-0.21086
548.56,506.51,24.739,23.567,-0.21652
551.04,508.87,24.718,23.545,-0.21652
553.51,511.22,24.695,23.523,-0.21652
555.97,513.57,24.673,23.502,-0.21652
558.44,515.92,24.65,23.48,-0.21652
560.9,518.27,24.627,23.458,-0.21652
563.37,520.61,24.603,23.437,-0.21652
565.82,522.95,24.579,23.415,-0.21652
568.28,525.29,24.554,23.393,-0.21652
570.74,527.63,24.528,23.372,-0.21652
573.19,529.97,24.502,23.35,-0.22218
575.64,532.3,24.475,23.328,-0.22218
578.08,534.63,24.448,23.306,-0.22218
580.53,536.96,24.42,23.283,-0.22218
582.97,539.29,24.392,23.261,-0.22218
585.4,541.62,24.364,23.239,-0.22218
587.84,543.94,24.335,23.217,-0.22218
590.27,546.26,24.307,23.195,-0.22218
592.7,548.58,24.278,23.172,-0.22218
595.13,550.89,24.25,23.15,-0.22218
597.55,553.21,24.221,23.128,-0.22785
599.97,555.52,24.192,23.105,-0.22785
602.39,557.83,24.162,23.082,-0.22785
604.8,560.14,24.133,23.06,-0.22785
607.22,562.44,24.104,23.037,-0.22785
609.62,564.74,24.075,23.014,-0.22785
612.03,567.04,24.046,22.991,-0.22785
614.43,569.34,24.016,22.968,-0.22785
616.83,571.64,23.987,22.946,-0.22785
619.23,573.93,23.958,22.923,-0.22785
621.62,576.22,23.928,22.9,-0.23351
624.02,578.51,23.899,22.877,-0.23351
626.4,580.8,23.869,22.853,-0.23351
628.79,583.08,23.84,22.83,-0.23351
631.17,585.36,23.81,22.807,-0.23351
633.55,587.64,23.781,22.783,-0.23351
635.93,589.92,23.751,22.76,-0.23351
638.3,592.19,23.721,22.737,-0.23351
640.67,594.47,23.692,22.713,-0.23351
