index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS,MileMarker,Bearing,DrivingDir,ValidPt
17700,1618837635.7,28.36495976476525,-1.3657078312997597,15.0,,,-86.5799985,35.984339,,,0.0,0.0,0.0,1.0,33614.91552871497,-33540.61552871497,316.93190335124063,West,False
17701,1618837635.8,27.98005106263096,-1.4239144411461528,15.0,,,-86.5800052,35.984344799999995,,,0.0,0.0,0.0,1.0,33615.798339073874,-33541.49833907387,320.08390381333487,West,True
17702,1618837635.9,27.61900871066329,-1.4710508684404568,15.0,,,-86.5800113,35.98435070000001,,,0.0,0.0,0.0,1.0,33616.65370150671,-33542.353701506705,315.9279187817103,West,True
17703,1618837636.0,27.259707594273262,-1.505954979781099,14.66604785207665,,,-86.58001800000001,35.984356299999995,,,0.0,0.0,0.0,1.0,33617.52039833518,-33543.22039833518,318.64712655644075,West,True
17704,1618837636.1,26.903976717368625,-1.5280491364658677,14.16530945305943,,,-86.58002420000001,35.984362,,,0.0,0.0,0.0,1.0,33618.36474268535,-33544.06474268535,317.7971070560965,West,True
17705,1618837636.2,26.548441062951955,-1.5373865720774367,14.0,,,-86.58003070000001,35.984367799999994,,,0.0,0.0,0.0,1.0,33619.235363798514,-33544.93536379851,318.284067010034,West,True
17706,1618837636.3,26.245932550235743,-1.5346608074442294,14.0,,,-86.58003719999999,35.9843737,,,0.0,0.0,0.0,1.0,33620.1142536189,-33545.8142536189,318.6062366351978,West,True
17707,1618837636.4,25.911563677908617,-1.5211836871166142,14.0,,,-86.5800433,35.98437929999999,,,0.0,0.0,0.0,1.0,33620.94430650603,-33546.64430650603,316.7232058288349,West,True
17708,1618837636.5,25.557926866914247,-1.4988280493852724,14.0,,,-86.5800497,35.9843848,,,0.0,0.0,0.0,1.0,33621.78431986254,-33547.48431986254,319.6475758404667,West,True
17709,1618837636.6,25.251742051744117,-1.4699432585660834,14.0,,,-86.580056,35.9843908,,,0.0,0.0,0.0,1.0,33622.65978292709,-33548.35978292709,318.56391389194556,West,True
17710,1618837636.7,24.99843341467666,-1.4372412425214254,14.0,,,-86.580062,35.9843963,,,0.0,0.0,0.0,1.0,33623.47554479308,-33549.17554479308,317.63008274942484,West,True
17711,1618837636.8,24.76998226063225,-1.4036632481376097,14.0,,,-86.5800682,35.9844018,,,0.0,0.0,0.0,1.0,33624.30332556621,-33550.003325566206,318.04175085038725,West,True
17712,1618837636.9,24.569932882248764,-1.3722271631031369,14.0,,,-86.58007420000001,35.98440720000001,,,0.0,0.0,0.0,1.0,33625.11078469429,-33550.81078469429,318.47465128300126,West,True
17713,1618837637.0,24.37607053682896,-1.3458679286618902,13.66787060882178,,,-86.58008000000001,35.9844125,,,0.0,0.0,0.0,1.0,33625.897966010896,-33551.59796601089,318.4746531989863,West,True
17714,1618837637.1,24.23414573087371,-1.3272742345717656,13.167570617290725,,,-86.5800858,35.9844178,,,0.0,0.0,0.0,1.0,33626.68514730545,-33552.385147305446,317.30965488680346,West,True
17715,1618837637.2,24.03235545999856,-1.3187358597995793,13.0,,,-86.58009150000001,35.9844228,,,0.0,0.0,0.0,1.0,33627.441545695845,-33553.14154569584,319.0055821713874,West,True
17716,1618837637.3,23.892385092837728,-1.3220078558039754,13.0,,,-86.5800973,35.9844282,,,0.0,0.0,0.0,1.0,33628.2370858474,-33553.9370858474,317.3096587048931,West,True
17717,1618837637.4,23.73911004251784,-1.3382049662542168,13.0,,,-86.58010300000001,35.984433200000005,,,0.0,0.0,0.0,1.0,33628.99348419255,-33554.69348419255,318.32790434030636,West,True
17718,1618837637.5,23.57369614430989,-1.3677327971253743,13.0,,,-86.5801085,35.98443820000001,,,0.0,0.0,0.0,1.0,33629.73779861639,-33555.43779861639,316.14240155699224,West,True
17719,1618837637.6,23.39307943784091,-1.410263423443584,13.0,,,-86.5801142,35.984443,,,0.0,0.0,0.0,1.0,33630.47800422192,-33556.17800422192,319.37941446563264,West,True
17720,1618837637.7,23.16730610564669,-1.4647584694743985,13.0,,,-86.5801195,35.984448,,,0.0,0.0,0.0,0.963628930706963,33631.21047750146,-33556.91047750146,316.56204535384995,West,True
17721,1618837637.8,22.89415558610902,-1.5295373146973392,12.668100729121404,,,-86.580125,35.9844527,,,0.0,0.0,0.0,0.8385613546169565,33631.93021615151,-33557.630216151505,318.6670937079918,West,True
17722,1618837637.9,22.58437185138539,-1.6023876645839266,12.16602205679031,,,-86.58013000000001,35.984457299999995,,,0.0,0.0,0.0,0.7134934803423278,33632.61140795012,-33558.31140795012,317.6203163157759,West,True
17723,1618837638.0,22.261558239771063,-1.6807049661531699,12.0,,,-86.5801353,35.984462,,,0.0,0.0,0.0,0.5884259042523214,33633.31889425796,-33559.018894257955,316.7440242713514,West,True
17724,1618837638.1,21.85949949341439,-1.7616534115380307,12.0,,,-86.5801403,35.984466299999994,,,0.0,0.0,0.0,0.463358328162315,33633.97540740008,-33559.67540740008,319.34673134559046,West,True
17725,1618837638.2,21.392779568647708,-1.8423272398400559,12.0,,,-86.5801455,35.98447120000001,,,0.0,0.0,0.0,0.3382904538876864,33634.69358271546,-33560.39358271546,316.7440274691453,West,True
17726,1618837638.3,20.980251540999937,-1.919905674332457,12.0,,,-86.5801505,35.9844755,,,0.0,0.0,0.0,0.2132228777976799,33635.35009582164,-33561.050095821636,319.2772845689259,West,True
