index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS,MileMarker,Bearing,DrivingDir,ValidPt
22689,1619098518.3,107.31631077689627,-0.09976168777164876,252.0,,,-86.579991,35.9843723,,,0.0,0.0,0.0,0.0,53831.03462216676,-53756.734622166754,317.9713144090126,West,False
22690,1619098518.4,107.34,-0.09401784180515746,252.0,,,-86.5800135,35.9843925,,,0.0,0.0,0.0,0.0,53834.058462150264,-53759.75846215026,318.36614860383,West,True
22691,1619098518.5,107.32548429878187,-0.08988385111118173,252.0,,,-86.5800358,35.984412799999994,,,0.0,0.0,0.0,0.0,53837.07858527679,-53762.778585276785,317.999898002196,West,True
22692,1619098518.6,107.35568600935488,-0.08741050140266704,252.0,,,-86.58005849999999,35.984433200000005,,,0.0,0.0,0.0,0.0,53840.13099215715,-53765.83099215715,317.43516155067425,West,True
22693,1619098518.7,107.26833342521638,-0.08656282676797522,252.0,,,-86.58008120000001,35.9844532,,,0.0,0.0,0.0,0.0,53843.150491842716,-53768.85049184271,317.82989846875034,West,True
22694,1619098518.8,107.2422264635713,-0.08723358685348385,252.0,,,-86.5801037,35.9844733,,,0.0,0.0,0.0,0.0,53846.166079955336,-53771.86607995533,317.97135088588936,West,True
22695,1619098518.9,107.22,-0.0892530453185964,252.0,,,-86.5801262,35.9844935,,,0.0,0.0,0.0,0.0,53849.18991820394,-53774.88991820394,317.5937016708286,West,True
22696,1619098519.0,107.1585538865154,-0.09240858130739092,252.0,,,-86.580149,35.98451370000001,,,0.0,0.0,0.0,0.0,53852.231893975644,-53777.93189397564,317.4009149889889,West,True
22697,1619098519.1,107.11259213532838,-0.09645635067815927,252.0,,,-86.58017149999999,35.984533500000005,,,0.0,0.0,0.0,0.0,53855.222841080285,-53780.92284108028,317.7345760351855,West,True
22698,1619098519.2,107.15291662490776,-0.10113966427225964,252.0,,,-86.5801943,35.98455379999999,,,0.0,0.0,0.0,0.0,53858.27303579141,-53783.97303579141,317.54471421520174,West,True
22699,1619098519.3,107.05996689889116,-0.10619744194135482,252.0,,,-86.58021679999999,35.984573700000006,,,0.0,0.0,0.0,0.0,53861.27217679126,-53786.972176791256,317.57754830665385,West,True
22700,1619098519.4,107.05525168110248,-0.11137738358302882,252.0,,,-86.5802395,35.9845938,,,0.0,0.0,0.0,0.0,53864.2998730079,-53789.999873007895,317.3097263660366,West,True
22701,1619098519.5,106.97778570437195,-0.1164400137491168,252.0,,,-86.5802623,35.9846138,,,0.0,0.0,0.0,0.0,53867.3254633356,-53793.025463335594,317.1847453756245,West,True
22702,1619098519.6,106.91298014621496,-0.12116673565489611,252.0,,,-86.5802852,35.9846338,,,0.0,0.0,0.0,0.0,53870.35716121985,-53796.05716121985,317.6877433358211,West,True
22703,1619098519.7,106.88014827634596,-0.12536120182369986,252.0,,,-86.5803077,35.9846538,,,0.0,0.0,0.0,0.0,53873.364514212706,-53799.0645142127,317.1665875177526,West,True
22704,1619098519.8,106.84498542328018,-0.12885449719845488,252.0,,,-86.5803305,35.9846737,,,0.0,0.0,0.0,0.0,53876.38193974374,-53802.08193974374,317.0602820300658,West,True
22705,1619098519.9,106.81296094872587,-0.13150598896134336,252.0,,,-86.5803535,35.9846937,,,0.0,0.0,0.0,0.0,53879.41975883507,-53805.11975883507,317.43525583557795,West,True
22706,1619098520.0,106.82832615534416,-0.13320755578889926,252.0,,,-86.5803762,35.98471370000001,,,0.0,0.0,0.0,0.0,53882.439253959805,-53808.1392539598,316.7324543658496,West,True
22707,1619098520.1,106.74220155946506,-0.1338845417660864,252.0,,,-86.580399,35.984733299999995,,,0.0,0.0,0.0,0.0,53885.43230146349,-53811.13230146348,317.30977685844886,West,True
22708,1619098520.2,106.65915411160675,-0.1334993843016494,252.0,,,-86.5804218,35.9847533,,,0.0,0.0,0.0,0.0,53888.45788933263,-53814.15788933263,316.91705812213246,West,True
22709,1619098520.3,106.66891084439396,-0.1320515691757871,252.0,,,-86.5804448,35.9847732,,,0.0,0.0,0.0,0.0,53891.48757621284,-53817.18757621284,316.60731508652066,West,True
22710,1619098520.4,106.58895700622816,-0.1295798637211165,252.0,,,-86.5804677,35.984792799999994,,,0.0,0.0,0.0,0.0,53894.486796816636,-53820.18679681663,316.91707243370473,West,True
