index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS,MileMarker,Bearing,DrivingDir,ValidPt
25203,1618267116.2,114.03895964109336,0.1932803457825577,44.0,,,-86.5799885,35.9844065,,,0.0,0.0,0.0,0.0,53819.755677153866,-53745.45567715386,318.26780099449377,West,False
25204,1618267116.3,114.03406142225138,0.1662652897842783,44.0,,,-86.5800122,35.984428,,,0.0,0.0,0.0,0.0,53822.959222387384,-53748.65922238738,317.9095480131665,West,True
25205,1618267116.4,114.08104359673024,0.13873238687201964,44.0,,,-86.58003620000001,35.9844495,,,0.0,0.0,0.0,0.0,53826.18079803175,-53751.88079803175,317.64307379567083,West,True
25206,1618267116.5,114.08636059097157,0.11056147440208663,44.0,,,-86.5800602,35.9844708,,,0.0,0.0,0.0,0.0,53829.385904674564,-53755.08590467456,318.01517208174675,West,True
25207,1618267116.6,114.06786872713371,0.08161643251726558,44.0,,,-86.580084,35.984492200000005,,,0.0,0.0,0.0,0.0,53832.58717106261,-53758.287171062606,318.14796460392716,West,True
25208,1618267116.7,114.09344522039498,0.051740112647194254,44.0,,,-86.5801078,35.98451370000001,,,0.0,0.0,0.0,0.0,53835.796711043375,-53761.49671104337,317.4062771824107,West,True
25209,1618267116.8,114.1187872303842,0.020761963172494763,44.0,,,-86.58013199999999,35.984535,,,0.0,0.0,0.0,0.0,53839.01396822459,-53764.71396822459,317.2382220430695,West,True
25210,1618267116.9,114.1306282263237,-0.011492432844909237,44.23734498869774,,,-86.58015599999999,35.984556,,,0.0,0.0,0.0,0.0,53842.19450204557,-53767.894502045565,317.23822962904774,West,True
25211,1618267117.0,114.1424692222632,-0.045176740770484544,44.474689977395485,,,-86.58018,35.984577,,,0.0,0.0,0.0,0.0,53845.37503547779,-53771.075035477785,317.26356727240807,West,True
25212,1618267117.1,114.14943373000062,-0.08040203147960179,44.73734498869774,,,-86.58020414999999,35.98459815,,,0.0,0.0,0.0,0.0,53848.5769778625,-53774.2769778625,317.2635749036644,West,True
25213,1618267117.2,114.15639823773806,-0.11720342158260869,45.0,,,-86.58022829999999,35.9846193,,,0.0,0.0,0.0,0.0,53851.77891985341,-53777.478919853405,317.09544361939714,West,True
25214,1618267117.3,114.14204789371198,-0.15551923183534594,45.0,,,-86.58025264999999,35.9846405,,,0.0,0.0,0.0,0.0,53854.997170886345,-53780.69717088634,317.09545132361626,West,True
25215,1618267117.4,114.1276975496859,-0.19516505584733523,45.0,,,-86.580277,35.984661700000004,,,0.0,0.0,0.0,0.0,53858.21542151912,-53783.915421519116,317.28859144609106,West,True
25216,1618267117.5,114.08340816008648,-0.23583076385075902,45.0,,,-86.58030129999999,35.984683000000004,,,0.0,0.0,0.0,0.0,53861.438772274916,-53787.13877227491,316.7659073771891,West,True
25217,1618267117.6,114.0980129573664,-0.2770762706198003,45.0,,,-86.5803257,35.984704,,,0.0,0.0,0.0,0.0,53864.64384800341,-53790.34384800341,317.08673774970896,West,True
25218,1618267117.7,113.91473317242779,-0.3183560284113748,45.0,,,-86.58035000000001,35.98472515,,,0.0,0.0,0.0,0.0,53867.85496233185,-53793.554962331844,317.08674539104356,West,True
25219,1618267117.8,113.7314533874892,-0.35903943762912943,45.0,,,-86.5803743,35.9847463,,,0.0,0.0,0.0,0.0,53871.06607625979,-53796.76607625979,316.68753873120806,West,True
25220,1618267117.9,113.69553963830862,-0.3984585633194747,45.0,,,-86.580399,35.9847675,,,0.0,0.0,0.0,0.0,53874.30584581351,-53800.00584581351,316.64897675157306,West,True
25221,1618267118.0,113.50245355073618,-0.43594231623653357,45.0,,,-86.5804235,35.9847885,,,0.0,0.0,0.0,0.0,53877.51708979812,-53803.21708979812,316.6489843250208,West,True
25222,1618267118.1,113.45756768998037,-0.47087114282190135,45.0,,,-86.580448,35.9848095,,,0.0,0.0,0.0,0.0,53880.72833338029,-53806.42833338029,316.92001037549153,West,True
25223,1618267118.2,113.2617146020736,-0.502706443279265,45.0,,,-86.5804725,35.9848307,,,0.0,0.0,0.0,0.0,53883.95578400505,-53809.655784005045,316.2586690983867,West,True
25224,1618267118.3,113.08724673571933,-0.5310331310454761,45.0,,,-86.5804971,35.984851500000005,,,0.0,0.0,0.0,0.0,53887.157106262064,-53812.85710626206,316.25867661938975,West,True
25225,1618267118.4,112.91277886936508,-0.555568608552257,45.0,,,-86.5805217,35.9848723,,,0.0,0.0,0.0,0.0,53890.3584281151,-53816.058428115095,315.4205394398181,West,True
25226,1618267118.5,112.77667083027184,-0.5761813456681661,45.0,,,-86.5805463,35.9848925,,,0.0,0.0,0.0,0.0,53893.511886056935,-53819.21188605693,314.38555936793585,West,True
25227,1618267118.6,112.73113265105296,-0.5928745230114829,45.0,,,-86.5805713,35.9849123,,,0.0,0.0,0.0,0.0,53896.65943798338,-53822.359437983374,316.2373487256697,West,True
25228,1618267118.7,112.62260044010732,-0.6057807898364113,45.0,,,-86.5805958,35.984933000000005,,,0.0,0.0,0.0,0.0,53899.846504436115,-53825.54650443611,315.91170609565205,West,True
25229,1618267118.8,112.42720873786408,-0.6151272997379147,45.0,,,-86.58062070000001,35.98495379999999,,,0.0,0.0,0.0,0.0,53903.066546624614,-53828.76654662461,316.80361692589895,West,True
25230,1618267118.9,112.25622180866746,-0.621216203287372,45.0,,,-86.5806453,35.984975,,,0.0,0.0,0.0,0.0,53906.30014667959,-53832.00014667959,316.23737146458217,West,True
25231,1618267119.0,112.10974261479964,-0.624383872327748,45.0,,,-86.5806698,35.984995700000006,,,0.0,0.0,0.0,0.0,53909.487211920736,-53835.18721192073,315.6350373954675,West,True
25232,1618267119.1,111.96570867071684,-0.6249791810876667,45.0,,,-86.58069470000001,35.98501629999999,,,0.0,0.0,0.0,0.0,53912.69131666766,-53838.39131666766,316.1642533434603,West,True
25233,1618267119.2,111.8747114947751,-0.6233285839991838,45.0,,,-86.5807195,35.9850372,,,0.0,0.0,0.0,0.0,53915.91311508516,-53841.61311508516,316.37531277376786,West,True
