index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS,MileMarker,Bearing,DrivingDir,ValidPt
12579,1617746504.5,114.062997246976,-0.27768958192186294,49.0,,,-86.5799822,35.9843315,,,0.0,0.0,0.0,0.0,22712.458648133328,-22638.15864813333,318.14790660725254,West,False
12580,1617746504.6,113.95798507939114,-0.2984143112841375,49.0,,,-86.58000600000001,35.984353000000006,,,0.0,0.0,0.0,0.0,22715.66819102482,-22641.36819102482,318.1732866788884,West,True
12581,1617746504.7,113.92610763327016,-0.31779858740704503,49.0,,,-86.58003000000001,35.984374700000004,,,0.0,0.0,0.0,0.0,22718.906305620396,-22644.606305620397,318.2800234860794,West,True
12582,1617746504.8,113.82546187744242,-0.33553120198371766,49.0,,,-86.58005379999999,35.9843963,,,0.0,0.0,0.0,0.0,22722.12413885327,-22647.82413885327,318.0285102172733,West,True
12583,1617746504.9,113.63158657162566,-0.3513477545834739,49.0,,,-86.5800777,35.9844178,,,0.0,0.0,0.0,0.0,22725.33969086761,-22651.039690867612,318.0548950436601,West,True
12584,1617746505.0,113.55993888379588,-0.36504269717672905,49.0,,,-86.5801018,35.9844395,,,0.0,0.0,0.0,0.0,22728.583811548877,-22654.283811548878,317.90955220729234,West,True
12585,1617746505.1,113.45008323923815,-0.37648198290857626,49.0,,,-86.58012579999999,35.984461,,,0.0,0.0,0.0,0.0,22731.805386982014,-22657.505386982015,317.9095599132215,West,True
12586,1617746505.2,113.38261402049928,-0.38560442299380127,49.0,,,-86.5801498,35.9844825,,,0.0,0.0,0.0,0.0,22735.02696202102,-22660.72696202102,317.40626590972863,West,True
12587,1617746505.3,113.27522623803772,-0.39241940077889825,49.0,,,-86.580174,35.98450379999999,,,0.0,0.0,0.0,0.0,22738.244219784945,-22663.944219784946,317.9095754042878,West,True
12588,1617746505.4,113.21357325394762,-0.39699500239573476,49.0,,,-86.580198,35.984525299999994,,,0.0,0.0,0.0,0.0,22741.465794038544,-22667.165794038545,317.90958318085467,West,True
12589,1617746505.5,113.0474680681808,-0.3994412971110036,49.0,,,-86.58022199999999,35.9845468,,,0.0,0.0,0.0,0.0,22744.68736789774,-22670.38736789774,317.5399717586741,West,True
12590,1617746505.6,112.97107980701948,-0.39989026919633336,49.0,,,-86.5802462,35.984568200000005,,,0.0,0.0,0.0,0.0,22747.9128190927,-22673.6128190927,317.2551584672781,West,True
12591,1617746505.7,112.90575420366524,-0.39847282594002653,49.0,,,-86.5802703,35.9845893,,,0.0,0.0,0.0,0.0,22751.10762512448,-22676.807625124482,317.5399871456429,West,True
12592,1617746505.8,112.80489684955624,-0.3953012269049123,49.0,,,-86.5802945,35.984610700000005,,,0.0,0.0,0.0,0.0,22754.333075526265,-22680.033075526266,317.1368973115883,West,True
12593,1617746505.9,112.74479093680333,-0.3904515362481443,49.0,,,-86.5803187,35.984631799999995,,,0.0,0.0,0.0,0.0,22757.533994576537,-22683.233994576538,317.39018770954624,West,True
12594,1617746506.0,112.59538172543026,-0.38395913183346064,49.0,,,-86.5803428,35.984653,,,0.0,0.0,0.0,0.0,22760.73697428887,-22686.43697428887,317.00117277844765,West,True
12595,1617746506.1,112.52465043689634,-0.37581517508113776,49.0,,,-86.58036700000001,35.984674,,,0.0,0.0,0.0,0.0,22763.929751127274,-22689.629751127275,317.0011804252557,West,True
12596,1617746506.2,112.3888786471316,-0.3659793446491454,49.0,,,-86.58039120000001,35.984695,,,0.0,0.0,0.0,0.0,22767.122527570176,-22692.822527570177,317.1541948457625,West,True
12597,1617746506.3,112.34765466449949,-0.35439058331374607,49.00844432223046,,,-86.5804155,35.9847162,,,0.0,0.0,0.0,0.0,22770.33771617128,-22696.037716171282,316.7276324855567,West,True
12598,1617746506.4,112.28576768172434,-0.3409920022755729,49.509904115157454,,,-86.5804397,35.984737,,,0.0,0.0,0.0,0.0,22773.514263149984,-22699.214263149985,316.88333892500646,West,True
12599,1617746506.5,112.18160180453896,-0.32574767650405,50.0,,,-86.580464,35.984758,,,0.0,0.0,0.0,0.0,22776.713181385458,-22702.41318138546,316.6097123316089,West,True
12600,1617746506.6,112.09163077009106,-0.3086682866409051,50.0,,,-86.58048829999998,35.984778799999994,,,0.0,0.0,0.0,0.0,22779.895901870597,-22705.595901870598,316.58982425557036,West,True
12601,1617746506.7,111.98840813806704,-0.28982233590759543,50.0,,,-86.5805125,35.9847995,,,0.0,0.0,0.0,0.0,22783.064360692493,-22708.764360692494,316.6097273258791,West,True
12602,1617746506.8,111.95898691052538,-0.2693513941583736,50.0,,,-86.5805368,35.9848203,,,0.0,0.0,0.0,0.0,22786.247080389992,-22711.947080389993,316.35436482997017,West,True
12603,1617746506.9,111.87327197435708,-0.2474677042568299,50.233286216381416,,,-86.5805612,35.984841,,,0.0,0.0,0.0,0.0,22789.427931868257,-22715.127931868257,316.8460719082167,West,True
12604,1617746507.0,111.76293950421794,-0.22445427722012448,62.25087866748167,,,-86.5805853,35.9848618,,,0.0,0.0,0.0,0.0,22792.5983157071,-22718.2983157071,316.2373303796749,West,True
12605,1617746507.1,111.79749114682647,-0.20064866470561202,74.0,,,-86.5806098,35.9848825,,,0.0,0.0,0.0,0.0,22795.785383136,-22721.485383136,316.31208254930436,West,True
12606,1617746507.2,111.76,-0.1764310778065132,74.0,,,-86.580634,35.984903,,,0.0,0.0,0.0,0.0,22798.937721461873,-22724.637721461873,316.4719022533522,West,True
12607,1617746507.3,111.70834254040535,-0.15220082612095404,73.98915666960815,,,-86.5806583,35.9849237,,,0.0,0.0,0.0,0.0,22802.112367936385,-22727.812367936385,316.0765166220972,West,True
12608,1617746507.4,111.71690381962094,-0.12836007651084566,73.48898852822629,,,-86.58068270000001,35.9849442,,,0.0,0.0,0.0,0.0,22805.27716201858,-22730.977162018582,316.33335260349014,West,True
12609,1617746507.5,111.68089948246956,-0.1052913100222271,73.0,,,-86.58070699999999,35.9849648,,,0.0,0.0,0.0,0.0,22808.44375492555,-22734.14375492555,316.19408968731756,West,True
12610,1617746507.6,111.65,-0.08334352038712745,73.0,,,-86.5807313,35.98498529999999,,,0.0,0.0,0.0,0.0,22811.602313273008,-22737.30231327301,316.0765390086143,West,True
12611,1617746507.7,111.66881577509923,-0.0628163175466355,72.9885209718269,,,-86.5807557,35.9850058,,,0.0,0.0,0.0,0.0,22814.767106166506,-22740.467106166507,316.0541247832439,West,True
12612,1617746507.8,111.71317102849568,-0.04395156973562313,72.49026486227066,,,-86.58078,35.98502620000001,,,0.0,0.0,0.0,0.0,22817.91764831733,-22743.61764831733,315.9134391369384,West,True
12613,1617746507.9,111.64689228825414,-0.02692586113969584,72.0,,,-86.5808043,35.9850465,,,0.0,0.0,0.0,0.0,22821.06019356281,-22746.76019356281,315.445852377566,West,True
12614,1617746508.0,111.7100239470348,-0.011847510259078875,72.0,,,-86.58082900000001,35.98506679999999,,,0.0,0.0,0.0,0.0,22824.227883919084,-22749.927883919085,315.81945310006967,West,True
12615,1617746508.1,111.6751557554556,0.0012430394337798563,71.9933897895686,,,-86.5808535,35.9850872,,,0.0,0.0,0.0,0.0,22827.390939656965,-22753.090939656966,315.3951387283518,West,True
12616,1617746508.2,111.76039073884182,0.012371564547377057,71.49184724769874,,,-86.580878,35.9851073,,,0.0,0.0,0.0,0.0,22830.530158144753,-22756.230158144754,315.77205854930116,West,True
12617,1617746508.3,111.74476278930136,0.021622377206037387,71.0,,,-86.58090229999999,35.985127500000004,,,0.0,0.0,0.0,0.0,22833.664724357113,-22759.364724357114,315.44588178160575,West,True
12618,1617746508.4,111.74197013061853,0.029132357492716886,71.0,,,-86.580927,35.98514779999999,,,0.0,0.0,0.0,0.0,22836.832413112774,-22762.532413112775,315.01937981216486,West,True
12619,1617746508.5,111.81310804116904,0.03507692419680956,71.0,,,-86.5809517,35.98516779999999,,,0.0,0.0,0.0,0.0,22839.976417724927,-22765.676417724928,315.53732247671263,West,True
12620,1617746508.6,111.82714481123472,0.03966069425251058,71.0,,,-86.5809762,35.985188,,,0.0,0.0,0.0,0.0,22843.12356102649,-22768.82356102649,315.53732979915276,West,True
12621,1617746508.7,111.82589826744967,0.04309975588262166,70.98870193138237,,,-86.5810007,35.9852082,,,0.0,0.0,0.0,0.0,22846.27070393309,-22771.97070393309,315.2523093547517,West,True
12622,1617746508.8,111.84404595642,0.045611776649176074,70.488992037858,,,-86.5810252,35.9852282,,,0.0,0.0,0.0,0.0,22849.402013072387,-22775.10201307239,314.9036600035881,West,True
12623,1617746508.9,111.85017951047604,0.047399229326528194,70.0,,,-86.58105,35.9852482,,,0.0,0.0,0.0,0.0,22852.552382581307,-22778.252382581308,315.1622979152478,West,True
12624,1617746509.0,111.92303824034452,0.0486429984541816,70.0,,,-86.5810747,35.985268299999994,,,0.0,0.0,0.0,0.0,22855.704260325252,-22781.404260325253,315.13564180088395,West,True
12625,1617746509.1,111.85277422373382,0.04949128468924391,69.991459585603,,,-86.5810993,35.9852883,,,0.0,0.0,0.0,0.0,22858.841908930513,-22784.541908930514,314.7884001825181,West,True
12626,1617746509.2,111.95168113574628,0.05005951701919986,69.49053460295015,,,-86.5811242,35.9853083,,,0.0,0.0,0.0,0.0,22861.99865653035,-22787.698656530352,314.76009293991757,West,True
12627,1617746509.3,111.95,0.05042701461494527,69.0,,,-86.581149,35.9853282,,,0.0,0.0,0.0,0.0,22865.141184864326,-22790.841184864326,314.90369631091085,West,True
12628,1617746509.4,111.97925880015312,0.05064272724765073,69.0,,,-86.5811738,35.985348200000004,,,0.0,0.0,0.0,0.0,22868.291552370745,-22793.991552370746,314.3857247969122,West,True
12629,1617746509.5,112.0107313362217,0.05072804555638008,68.99049582154137,,,-86.5811988,35.985368,,,0.0,0.0,0.0,0.0,22871.439095012232,-22797.139095012233,314.385731969596,West,True
12630,1617746509.6,111.9800323781475,0.050684945260541237,68.4913300851401,,,-86.5812238,35.9853878,,,0.0,0.0,0.0,0.0,22874.586637251243,-22800.286637251244,314.78843629393543,West,True
12631,1617746509.7,112.03595783378492,0.050501206855402714,68.0,,,-86.5812487,35.9854078,,,0.0369762873082453,0.0,0.0,0.0,22877.743382845994,-22803.443382845995,314.1264188819214,West,True
12632,1617746509.8,112.0371387393267,0.05015698775398562,68.0,,,-86.5812738,35.9854275,,,0.1840406280888227,0.0,0.0,0.0,22880.889608627986,-22806.589608627986,314.3857536014553,West,True
12633,1617746509.9,112.05202148005088,0.04962929225229114,68.0,,,-86.5812988,35.9854473,,,0.3311053194984462,0.0,0.0,0.0,22884.037149653876,-22809.737149653876,314.30183382656526,West,True
12634,1617746510.0,112.12425905436308,0.0488948050932613,68.0,,,-86.581324,35.9854672,,,0.4781696602790236,0.0,0.0,0.0,22887.2053316914,-22812.9053316914,314.3857679839426,West,True
12635,1617746510.1,112.0872547626329,0.04793268638838161,67.98969350518358,,,-86.581349,35.985487,,,0.6252340010596009,0.0,0.0,0.0,22890.35287190938,-22816.05287190938,314.0125995369054,West,True
12636,1617746510.2,112.127698475241,0.04672392455087434,67.49080563128321,,,-86.58137420000001,35.9855067,,,0.7722986924692243,0.0,0.0,0.0,22893.505560748836,-22819.205560748836,313.75355637266506,West,True
12637,1617746510.3,112.07212645618004,0.0452534643964651,67.0,,,-86.5813995,35.9855263,,,0.9193630332498016,0.0,0.0,0.0,22896.6570262767,-22822.357026276703,314.530085692357,West,True
12638,1617746510.4,112.21817908676138,0.043507696908844755,67.0,,,-86.5814245,35.98554620000001,,,1.0,0.0,0.0,0.0,22899.812353226014,-22825.512353226015,313.75357067191254,West,True
12639,1617746510.5,112.16827971501208,0.041477439621050737,66.99011291178803,,,-86.5814498,35.9855658,,,1.0,0.0,0.0,0.0,22902.963817931657,-22828.663817931658,314.0126281501696,West,True
12640,1617746510.6,112.14391492636138,0.03915507857325683,66.48975801208448,,,-86.581475,35.9855855,,,1.0,0.0,0.0,0.0,22906.116505141104,-22831.816505141105,313.60720369540843,West,True
12641,1617746510.7,112.23674314612722,0.03653921108078377,66.0,,,-86.5815003,35.985605,,,1.0,0.0,0.0,0.0,22909.260289513415,-22834.960289513416,313.9312810860626,West,True
12642,1617746510.8,112.20563304643426,0.033632029388110454,66.0,,,-86.5815257,35.9856248,,,1.0,0.0,0.0,0.0,22912.433646885398,-22838.1336468854,313.8992678617285,West,True
12643,1617746510.9,112.26896578443728,0.030445296998374265,65.99131879582758,,,-86.581551,35.9856445,,,1.0,0.0,0.0,0.0,22915.592809940612,-22841.292809940613,313.60722510152425,West,True
12644,1617746511.0,112.28994459177444,0.026997557238894625,65.49067841826144,,,-86.5815763,35.985664,,,1.0,0.0,0.0,0.0,22918.73659307948,-22844.43659307948,313.6739099579344,West,True
12645,1617746511.1,112.2614310605502,0.023320140186589275,65.0,,,-86.58160179999999,35.9856837,,,1.0,0.0,0.0,0.0,22921.90874632364,-22847.60874632364,313.6407279338588,West,True
12646,1617746511.2,112.33508425959126,0.019453086061151304,65.0,,,-86.5816272,35.9857033,,,1.0,0.0,0.0,0.0,22925.06671336479,-22850.766713364792,313.3819833112684,West,True
12647,1617746511.3,112.28955074383632,0.015449382969134822,64.99747168102584,,,-86.5816527,35.9857228,,,1.0,0.0,0.0,0.0,22928.223549561804,-22853.923549561805,313.6072534971507,West,True
12648,1617746511.4,112.35695238265184,0.011368345883546753,64.49369241468274,,,-86.581678,35.9857423,,,1.0,0.0,0.0,0.0,22931.367331064972,-22857.067331064973,313.1585931304544,West,True
12649,1617746511.5,112.35417400329918,0.007276550687907985,64.0,,,-86.5817037,35.9857618,,,1.0,0.0,0.0,0.0,22934.537269107783,-22860.237269107784,313.2700710535207,West,True
12650,1617746511.6,112.38440296806776,0.0032380593688110283,64.0,,,-86.58172929999999,35.9857813,,,1.0,0.0,0.0,0.0,22937.700649387978,-22863.40064938798,313.15860727538876,West,True
12651,1617746511.7,112.28393609381392,-0.0006882342491266826,63.99239000649007,,,-86.581755,35.9858008,,,1.0,0.0,0.0,0.0,22940.87058659704,-22866.57058659704,313.38201865527714,West,True
12652,1617746511.8,112.30852231429664,-0.004460622419777871,63.49107705252892,,,-86.58178050000001,35.9858203,,,1.0,0.0,0.0,0.0,22944.027420733488,-22869.72742073349,313.0116602438986,West,True
12653,1617746511.9,112.293937080451,-0.008059058207822746,63.0,,,-86.5818062,35.98583970000001,,,1.0,0.0,0.0,0.0,22947.18976155236,-22872.88976155236,313.0476182713785,West,True
12654,1617746512.0,112.32,-0.01149655274685489,63.0,,,-86.58183199999999,35.9858592,,,1.0,0.0,0.0,0.0,22950.3662667948,-22876.0662667948,312.45570367030956,West,True
12655,1617746512.1,112.32760876457216,-0.014821638585958773,63.0,,,-86.5818578,35.9858783,,,1.0,0.0,0.0,0.0,22953.51257859701,-22879.21257859701,312.7901999031125,West,True
12656,1617746512.2,112.36195121495328,-0.018124870339891644,63.0,,,-86.5818837,35.9858977,,,1.0,0.0,0.0,0.0,22956.688100061332,-22882.388100061333,312.7530917445644,West,True
12657,1617746512.3,112.27448218014058,-0.021534575313261417,62.98921516525784,,,-86.5819095,35.985917,,,1.0,0.0,0.0,0.0,22959.849465366075,-22885.549465366075,312.3843922726713,West,True
12658,1617746512.4,112.29985720039544,-0.025214480074360585,62.48943679593534,,,-86.5819355,35.985936200000005,,,1.0,0.0,0.0465847504953525,0.0,22963.01656089339,-22888.71656089339,313.04765319474336,West,True
12659,1617746512.5,112.21924325869462,-0.02934948183154172,62.0,,,-86.5819613,35.985955700000005,,,1.0,0.0,0.1507801926558646,0.0,22966.193064062525,-22891.893064062526,312.3453708805088,West,True
12660,1617746512.6,112.2419864152645,-0.03413320639980963,62.0,,,-86.5819872,35.985974799999994,,,1.0,0.0,0.2549756348163767,0.0,22969.346017935564,-22895.046017935565,312.27491785329926,West,True
12661,1617746512.7,112.25170788096251,-0.03974458493233186,61.99019506374636,,,-86.58201329999999,35.985994,,,1.0,0.0,0.3591713253984184,0.0,22972.519763862452,-22898.219763862453,312.4943759274918,West,True
12662,1617746512.8,112.2275632574759,-0.04632905965270813,61.491228258011866,,,-86.5820392,35.9860132,,,1.0,0.0,0.4633667675589305,0.0,22975.680217654808,-22901.38021765481,312.23548855627655,West,True
12663,1617746512.9,112.23376280716931,-0.053972229571403296,61.0,,,-86.5820652,35.9860323,,,1.0,0.0,0.5675624581409722,0.0,22978.839826083662,-22904.539826083663,312.2749386410253,West,True
12664,1617746513.0,112.19191239913168,-0.062683447353541,61.0,,,-86.58209129999999,35.9860515,,,1.0,0.0,0.6717579003014843,0.0,22982.013570744268,-22907.71357074427,312.38444089943505,West,True
12665,1617746513.1,112.209624197814,-0.0723768861851978,61.0,,,-86.5821173,35.986070700000006,,,1.0,0.0,0.7759533424619964,0.0,22985.18066332606,-22910.88066332606,312.2355093226061,West,True
12666,1617746513.2,112.2,-0.0828681863166667,61.0,,,-86.5821433,35.9860898,,,1.0,0.0,0.8801490330440381,0.0,22988.340270492692,-22914.040270492693,311.6511054334418,West,True
12667,1617746513.3,112.15338688856488,-0.09387272707705357,60.99441736310102,,,-86.58216970000001,35.9861088,,,1.0,0.0,0.9843444752045502,0.0,22991.51921471335,-22917.21921471335,311.75911471141427,West,True
12668,1617746513.4,112.11508658944342,-0.10502221017348341,60.49280404322597,,,-86.582196,35.9861278,,,0.0,0.0,1.0,0.0,22994.691441202453,-22920.391441202453,311.86758192459445,West,True
12669,1617746513.5,112.08079826325248,-0.11588335444204585,60.0,,,-86.5822222,35.9861468,,,0.0,0.0,1.0,0.0,22997.856961286423,-22923.556961286424,311.9765092667217,West,True
12670,1617746513.6,112.01381626022196,-0.12599234254050207,60.0,,,-86.5822483,35.9861658,,,0.0,0.0,1.0,0.0,23001.015786359534,-22926.715786359535,311.71736584696896,West,True
12671,1617746513.7,111.9619063065368,-0.13488709978933744,60.0,,,-86.5822745,35.9861847,,,0.0,0.0,1.0,0.0,23004.173895177864,-22929.873895177865,311.75914207925484,West,True
12672,1617746513.8,111.87949328618002,-0.14214779652796666,60.0,,,-86.58230079999998,35.986203700000004,,,0.0,0.0,1.0,0.0,23007.34611996894,-22933.04611996894,311.65114652584236,West,True
12673,1617746513.9,111.79118852989588,-0.14742803992171252,59.9927172398005,,,-86.5823272,35.9862227,,,0.0,0.0,1.0,0.0,23010.52506162745,-22936.22506162745,311.6752418390838,West,True
12674,1617746514.0,111.75743577202762,-0.15048519192916032,59.49261768012848,,,-86.5823533,35.9862415,,,0.0,0.0,1.0,0.0,23013.669054478753,-22939.369054478753,311.35026517608185,West,True
12675,1617746514.1,111.67156982987622,-0.15119551263175304,59.0,,,-86.5823797,35.9862603,,,0.0,0.0,1.0,0.0,23016.833259036313,-22942.533259036314,311.39359112107786,West,True
12676,1617746514.2,111.64542680057184,-0.14956235947200175,59.0,,,-86.58240620000001,35.9862792,,,0.0,0.0,1.0,0.0,23020.011564515517,-22945.711564515517,311.78451928383026,West,True
12677,1617746514.3,111.5817096189426,-0.14570838316188,59.0,,,-86.5824322,35.986298,,,0.0,0.0,1.0,0.0,23023.14884141071,-22948.848841410712,311.242879681311,West,True
12678,1617746514.4,111.5455615401613,-0.13986054380045831,59.0,,,-86.5824587,35.9863168,,,0.0,0.0,0.9574759454372356,0.0,23026.31980448806,-22952.01980448806,311.60902492128025,West,True
12679,1617746514.5,111.52031573676548,-0.13232409366190695,59.0,,,-86.58248499999999,35.986335700000005,,,0.0,0.0,0.1238295698700328,0.0,23029.484631599236,-22955.184631599237,311.45816449066297,West,True
12680,1617746514.6,111.44128010398951,-0.12345417291172699,59.0,,,-86.58251130000001,35.9863545,,,0.0,0.0,0.0,0.0,23032.642085402207,-22958.342085402208,311.09147652237505,West,True
12681,1617746514.7,111.43727943819292,-0.11362440327286044,58.992573482118736,,,-86.5825378,35.9863732,,,0.0,0.0,0.0,0.0,23035.80572769092,-22961.50572769092,311.2625057175039,West,True
12682,1617746514.8,111.45416799370344,-0.10319927989923812,58.49114006374468,,,-86.582564,35.98639179999999,,,0.0,0.0,0.0,0.0,23038.941732092946,-22964.641732092947,311.3936384990491,West,True
12683,1617746514.9,111.3994260442895,-0.0925104233743081,58.0,,,-86.58259050000001,35.9864107,,,0.0,0.0,0.0,0.0,23042.12003459156,-22967.82003459156,311.1543388522218,West,True
12684,1617746515.0,111.40218025169948,-0.0818404421665046,58.0,,,-86.5826168,35.9864293,,,0.0,0.0,0.0,0.0,23045.26280706587,-22970.96280706587,310.89371965339427,West,True
12685,1617746515.1,111.3168239279072,-0.07141348247652926,58.0,,,-86.5826432,35.98644779999999,,,0.0,0.0,0.0,0.0,23048.40506851185,-22974.10506851185,311.0915100654448,West,True
