index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS,MileMarker,Bearing,DrivingDir,ValidPt
11824,1618265778.3,90.87169392293184,0.14079718018387857,68.24194869109823,,,-86.5799873,35.984401500000004,,,0.0,0.0,0.0,0.0,22719.712226667893,-22645.412226667893,317.5760057729197,West,False
11825,1618265778.4,90.8735447492456,0.12807201356680908,68.74333595125643,,,-86.5800065,35.9844185,,,0.0,0.0,0.0,0.0,22722.273027722702,-22647.973027722703,318.2078134265635,West,True
11826,1618265778.5,90.87724339249026,0.11502199774716651,69.0,,,-86.5800255,35.9844357,,,0.0,0.0,0.0,0.0,22724.838260884164,-22650.538260884165,318.1761057055253,West,True
11827,1618265778.6,90.91567229620009,0.10174416481821744,69.0,,,-86.5800443,35.9844527,,,0.0,0.0,0.0,0.0,22727.374920935858,-22653.07492093586,318.0250227259113,West,True
11828,1618265778.7,90.86475632286424,0.08827556443525025,69.0,,,-86.5800632,35.984469700000005,,,0.0,0.0,0.0,0.0,22729.917589595916,-22655.617589595917,317.89220431540974,West,True
11829,1618265778.8,90.95612991481148,0.07458458161731901,69.0,,,-86.5800823,35.9844868,,,0.0,0.0,0.0,0.0,22732.480566874325,-22658.180566874325,317.5760366225085,West,True
11830,1618265778.9,90.95547696247306,0.060562930876762844,69.0,,,-86.5801015,35.98450379999999,,,0.0,0.0,0.0,0.0,22735.041366669273,-22660.741366669274,317.8746655860399,West,True
11831,1618265779.0,91.0008207646762,0.046030707369967803,69.0,,,-86.58012049999999,35.9845208,,,0.0,0.0,0.0,0.0,22737.590061034396,-22663.290061034397,317.42779574308196,West,True
11832,1618265779.1,90.96,0.030746442888334717,69.24224632142175,,,-86.5801398,35.9845378,,,0.0,0.0,0.0,0.0,22740.15693881741,-22665.85693881741,317.8746778490734,West,True
11833,1618265779.2,90.98906972234788,0.014428278573302212,69.74319104720045,,,-86.58015879999999,35.9845548,,,0.0,0.0,0.0,0.0,22742.705632687845,-22668.405632687845,317.6140995573776,West,True
11834,1618265779.3,91.01127868569952,-0.0032194238885369314,70.0,,,-86.5801782,35.984572,,,0.0,0.0,0.0,0.0,22745.294988063037,-22670.994988063037,317.7250250912445,West,True
11835,1618265779.4,91.00303747039978,-0.022473773616935543,70.0,,,-86.5801973,35.984589,,,0.0,0.0,0.0,0.0,22747.849725343167,-22673.549725343168,317.87469633386263,West,True
11836,1618265779.5,91.02965783267018,-0.04355893709396546,70.0,,,-86.58021629999999,35.984606,,,0.0,0.0,0.0,0.0,22750.398418469544,-22676.098418469544,317.2382455562768,West,True
11837,1618265779.6,91.00543145582792,-0.06661375655752835,70.0,,,-86.5802355,35.9846228,,,0.0,0.0,0.0,0.0,22752.942844503006,-22678.642844503007,317.5760858159508,West,True
11838,1618265779.7,91.0317998351764,-0.09166279009259469,70.0,,,-86.5802547,35.9846398,,,0.0,0.0,0.0,0.0,22755.503642289845,-22681.203642289845,317.4278388035534,West,True
11839,1618265779.8,91.03086968097315,-0.11859727593910117,70.0,,,-86.580274,35.9846568,,,0.0,0.0,0.0,0.0,22758.070518301683,-22683.770518301684,317.2593958468207,West,True
11840,1618265779.9,90.96247296068866,-0.14716453162537682,70.0,,,-86.5802933,35.9846737,,,0.0,0.0,0.0,0.0,22760.629216435493,-22686.329216435493,317.28029936872474,West,True
