,index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS,MileMarker,Bearing,DrivingDir,ValidPt
0,4133,1618957158.1,61.732658180848844,-0.03054212904014362,41.0,,,-86.6850017,36.0649827,,,0.0,0.0,0.0,0.0,6282.577606474189,-6208.277606474189,356.8490505570933,West,False
1,4134,1618957158.2,61.73521121319979,-0.0410326322136525,41.0,,,-86.6849892,36.0649708,,,0.0,0.0,0.0,0.0,6284.313488444201,-6210.0134884442,356.797043233799,West,True
2,4135,1618957158.3,61.67,-0.053328161790760484,41.0,,,-86.68497679999999,36.0649588,,,0.0,0.0,0.0,0.0,6286.0520856011135,-6211.752085601112,356.87545304228564,West,True
3,4136,1618957158.4,61.65006863195439,-0.0670875989241907,41.0,,,-86.68496429999998,36.064947,,,0.0,0.0,0.0,0.0,6287.77950667314,-6213.4795066731385,356.82259028654676,West,True
4,4137,1618957158.5,61.693622333306024,-0.08200887325630088,40.75994307998911,,,-86.6849518,36.064935,,,0.0,0.0,0.0,0.0,6289.523879931454,-6215.223879931454,356.8225783433314,West,True
5,4138,1618957158.6,61.66685893612792,-0.09783554763977184,40.25881041478487,,,-86.6849393,36.064923,,,0.0,0.0,0.0,0.0,6291.268253300152,-6216.968253300151,356.82256640196533,West,True
6,4139,1618957158.7,61.549865506761066,-0.11436747607977725,40.0,,,-86.68492679999999,36.064910999999995,,,0.0,0.0,0.0,0.0,6293.012626780053,-6218.712626780054,356.84772111830404,West,True
7,4140,1618957158.8,61.52455753614398,-0.1314616387842282,40.0,,,-86.6849142,36.064899,,,0.0,0.0,0.0,0.0,6294.762803361454,-6220.462803361454,356.79697100250837,West,True
8,4141,1618957158.9,61.442140714937686,-0.14903835572528046,40.0,,,-86.68490179999998,36.064887,,,0.0,0.0,0.0,0.0,6296.501401169644,-6222.201401169644,356.875382569363,West,True
9,4142,1618957159.0,61.42094256205171,-0.16707277200081627,40.0,,,-86.6848893,36.0648752,,,0.0,0.0,0.0,0.0,6298.228822908011,-6223.928822908011,356.7696718394105,West,True
10,4143,1618957159.1,61.35965578030172,-0.18559289180554936,40.0,,,-86.6848768,36.064863,,,0.0,0.0,0.0,0.0,6299.9902665321715,-6225.69026653217,356.87535908520437,West,True
11,4144,1618957159.2,61.2888041046635,-0.2046592848942942,40.0,,,-86.68486429999999,36.06485120000001,,,0.0,0.0,0.0,0.0,6301.717688494306,-6227.417688494305,356.7709366408419,West,True
12,4145,1618957159.3,61.20447465879611,-0.22435456783775667,39.76122022235886,,,-86.684852,36.0648392,,,0.0,0.0,0.0,0.0,6303.450538210456,-6229.150538210457,356.82248299274744,West,True
13,4146,1618957159.4,61.15776811999254,-0.2447540610398343,39.25947609056089,,,-86.6848395,36.0648272,,,0.0,0.0,0.0,0.0,6305.194912461204,-6230.894912461204,356.7977653889866,West,True
14,4147,1618957159.5,61.10314360762808,-0.2659121877237949,39.0,,,-86.6848272,36.0648153,,,0.0,0.0,0.0,0.0,6306.919214691221,-6232.619214691221,356.87239897819063,West,True
15,4148,1618957159.6,61.02438633071622,-0.28783238573466696,39.0,,,-86.6848145,36.0648033,,,0.0,0.0,0.0,0.0,6308.675221999257,-6234.375221999257,356.8224471602901,West,True
16,4149,1618957159.7,61.00753266587478,-0.3104597384735868,39.0,,,-86.684802,36.064791299999996,,,0.0,0.0,0.0,0.0,6310.419596579411,-6236.11959657941,356.82243521560054,West,True
17,4150,1618957159.8,60.936194580145646,-0.33365999513048583,39.0,,,-86.68478950000002,36.0647793,,,0.0,0.0,0.0,0.0,6312.163971270553,-6237.863971270553,356.87527705646835,West,True
18,4151,1618957159.9,60.856667696613904,-0.3572262090619737,39.0,,,-86.684777,36.0647675,,,0.0,0.0,0.0,0.0,6313.891394010166,-6239.591394010166,356.82455994967916,West,True
19,4152,1618957160.0,60.74207996520099,-0.3808725504969143,39.0,,,-86.6847647,36.064755700000006,,,0.0,0.0,0.0,0.0,6315.607178557467,-6241.307178557467,356.848825993031,West,True
20,4153,1618957160.1,60.69118711792001,-0.4042562408526941,38.759620390687594,,,-86.6847522,36.064743799999995,,,0.0,0.0,0.0,0.0,6317.343062625775,-6243.043062625775,356.82238763570234,West,True
21,4154,1618957160.2,60.59245024640307,-0.4269842858466918,38.26106104226149,,,-86.6847397,36.0647318,,,0.0,0.0,0.0,0.0,6319.0874377546725,-6244.787437754673,356.8500811423648,West,True
22,4155,1618957160.3,60.45821752430897,-0.4486443882222786,38.0,,,-86.68472729999998,36.06472,,,0.0,0.0,0.0,0.0,6320.809028150578,-6246.509028150578,356.8752186088369,West,True
23,4156,1618957160.4,60.3210686409444,-0.4688162737886635,38.0,,,-86.6847148,36.06470820000001,,,0.0,0.0,0.0,0.0,6322.536451440191,-6248.236451440191,356.7976453254235,West,True
24,4157,1618957160.5,60.22343546632746,-0.4871009003425401,38.0,,,-86.6847025,36.0646963,,,0.0,0.0,0.0,0.0,6324.26075474243,-6249.960754742429,356.87820366887627,West,True
25,4158,1618957160.6,60.09,-0.5031262087692094,38.0,,,-86.6846902,36.0646847,,,0.0,0.0,0.0,0.0,6325.959593712025,-6251.6595937120255,356.79675526505923,West,True
26,4159,1618957160.7,59.94,-0.5165649606696288,38.0,,,-86.68467779999997,36.0646727,,,0.0,0.0,0.0,0.0,6327.698193467324,-6253.398193467324,356.797609691685,West,True
27,4160,1618957160.8,59.79883522914995,-0.5271281755220355,38.0,,,-86.68466550000002,36.06466079999999,,,0.0,0.0,0.0,0.0,6329.4224970892155,-6255.1224970892135,356.87816894604407,West,True
28,4161,1618957160.9,59.72937988615485,-0.5345674644911054,38.0,,,-86.6846532,36.06464920000001,,,0.0,0.0,0.0,0.0,6331.1213363831,-6256.821336383101,356.77139212430865,West,True
29,4162,1618957161.0,59.58759404130872,-0.5386561446660081,38.0,,,-86.684641,36.064637299999994,,,0.0,0.0,0.0,0.0,6332.839890859572,-6258.539890859572,356.8244300944723,West,True
30,4163,1618957161.1,59.5,-0.5391791932883577,37.761447673918646,,,-86.6846287,36.0646255,,,0.0,0.0,0.0,0.0,6334.555676586437,-6260.2556765864365,356.849976011649,West,True
31,4164,1618957161.2,59.38,-0.5359089241478019,37.260507734495185,,,-86.68461629999999,36.0646137,,,0.0,0.0,0.0,0.0,6336.277267958131,-6261.977267958131,356.8222577888169,West,True
32,4165,1618957161.3,59.20640027579867,-0.5285915087374,37.0,,,-86.68460379999998,36.064601700000004,,,0.0,0.0,0.0,0.0,6338.021644282941,-6263.721644282942,356.79931421056216,West,True
33,4166,1618957161.4,59.12394145507639,-0.5169282710788716,37.0,,,-86.6845917,36.06459,,,0.0,0.0,0.0,0.0,6339.717356145199,-6265.417356145199,356.79840740693504,West,True
34,4167,1618957161.5,58.9887580703596,-0.5005697665393323,37.0,,,-86.6845795,36.0645782,,,0.0,0.0,0.022228293733983998,0.0,6341.427364296549,-6267.127364296549,356.8254721699869,West,True
35,4168,1618957161.6,58.86462041240497,-0.4791134740404645,37.0,,,-86.6845673,36.0645665,,,0.0,0.0,0.1308499411480595,0.0,6343.128855437873,-6268.828855437873,356.7719801057325,West,True
36,4169,1618957161.7,58.82721149282611,-0.4521138153219194,37.0,,,-86.6845552,36.0645547,,,0.0,0.0,0.2394718475365704,0.0,6344.8331136086435,-6270.533113608643,356.8254489796473,West,True
37,4170,1618957161.8,58.70183398131493,-0.41910222261099095,37.0,,,-86.684543,36.064543,,,0.0,0.0,0.3480934949506459,0.0,6346.534604961074,-6272.234604961074,356.82543733515416,West,True
38,4171,1618957161.9,58.570881919677475,-0.3796150592082126,37.0,,,-86.68453079999998,36.0645313,,,0.0,0.0,0.4567154013391568,0.0,6348.236096419431,-6273.936096419431,356.7460351554442,West,True
39,4172,1618957162.0,58.41704072639136,-0.3332343219636219,37.0,,,-86.684519,36.06451970000001,,,0.0,0.0,0.5653370487532323,0.0,6349.906037560164,-6275.606037560164,356.82541442592697,West,True
40,4173,1618957162.1,58.357425652354,-0.279627440605719,37.0,,,-86.6845068,36.064508000000004,,,0.0,0.0,0.6739586961673079,0.0,6351.60752922761,-6277.30752922761,356.71802110887046,West,True
41,4174,1618957162.2,58.25064607894089,-0.2185989349255197,37.0,,,-86.684495,36.0644963,,,0.0,0.0,0.7825806025558187,0.0,6353.286074111693,-6278.986074111693,356.8524701367473,West,True
42,4175,1618957162.3,58.14707899515463,-0.1501293444310335,37.23937678573344,,,-86.6844828,36.0644847,,,0.0,0.0,0.8912022499698942,0.0,6354.9790790613315,-6280.679079061332,356.71799742806525,West,True
43,4176,1618957162.4,58.07019626948775,-0.07442279099090192,37.7393297025655,,,-86.684471,36.064473,,,0.0,0.0,0.999824156358405,0.0,6356.657624144513,-6282.357624144513,356.7739690751653,West,True
44,4177,1618957162.5,58.04915020802008,0.00807074874780747,38.0,,,-86.6844592,36.0644615,,,0.0,0.0,1.0,0.0,6358.318992111275,-6284.018992111276,356.77255777026886,West,True
45,4178,1618957162.6,58.02,0.0966277869750381,38.0,,,-86.68444720000002,36.0644498,,,0.0,0.0,1.0,0.0,6360.0089541798025,-6285.708954179802,356.77324018330887,West,True
46,4179,1618957162.7,58.03713255234757,0.19025941138896715,38.0,,,-86.6844353,36.06443820000001,,,0.0,0.0,1.0,0.0,6361.6846193387155,-6287.384619338716,356.7184333562619,West,True
47,4180,1618957162.8,58.101244364459454,0.287714674094568,38.0,,,-86.68442370000002,36.06442670000001,,,0.0,0.0,1.0,0.0,6363.3345688245145,-6289.034568824513,356.8009764456807,West,True
48,4181,1618957162.9,58.224317835006886,0.3875254157964275,38.0,,,-86.6844118,36.0644152,,,0.0,0.0,1.0,0.0,6365.001689947549,-6290.7016899475475,356.77391166092417,West,True
49,4182,1618957163.0,58.38107677772528,0.4880424663520538,38.0,,,-86.6844,36.0644037,,,0.0,0.0,1.0,0.0,6366.663058412596,-6292.363058412597,356.74638579755816,West,True
50,4183,1618957163.1,58.515696137617084,0.5875126488463311,38.0,,,-86.6843883,36.0643922,,,0.0,0.0,1.0,0.0,6368.31870302696,-6294.018703026961,356.7183869935536,West,True
51,4184,1618957163.2,58.84399863472646,0.6841381580342403,38.0,,,-86.6843767,36.0643807,,,0.0,0.0,1.0,0.0,6369.968652898006,-6295.668652898006,356.8286922046068,West,True
52,4185,1618957163.3,58.978363564921004,0.7761702048636714,38.23976753255582,,,-86.6843648,36.064369299999996,,,0.0,0.0,1.0,0.0,6371.627260717578,-6297.327260717578,356.7183638113524,West,True
53,4186,1618957163.4,59.183568403908794,0.861972824772822,38.73999353594528,,,-86.6843532,36.064357799999996,,,0.0,0.0,1.0,0.0,6373.277210780413,-6298.977210780413,356.7181089042617,West,True
54,4187,1618957163.5,59.573215095430356,0.9401111723010998,39.0,,,-86.6843415,36.0643462,,,0.0,0.0,0.8685459552251502,0.0,6374.9414589414,-6300.6414589414,356.718588525475,West,True
55,4188,1618957163.6,59.767916222504425,1.0093984096384787,39.0,,,-86.68433,36.0643348,,,0.0,0.0,0.7368919638740168,0.0,6376.577111198674,-6302.277111198674,356.8027846885753,West,True
56,4189,1618957163.7,60.12696839420713,1.0689580075800889,39.0,,,-86.6843183,36.0643235,,,0.0,0.0,0.6052376586350083,0.0,6378.215640954688,-6303.915640954688,356.77526916136964,West,True
